LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
1818091,0.494996,0.494995,0.494996,0.999998,304,1.1,0.8,1.1,0.8,16.06,1.12,562,7.9,2.1,8.1,2.1,15.89,1.49,2.0202,2.054,29.6033,0.0755,7.7648,2.0202,2.029,114.3511,0.0251,29.0443,0.37,0.0,,LZ3,5.0
1882354,0.695061,0.695029,0.695045,0.999954,313,3.0,1.5,3.9,1.7,15.82,0.63,411,13.2,2.8,15.8,2.8,15.71,0.7,1.4387,1.4909,19.1516,0.0753,8.1631,1.4388,1.4419,326.2643,0.0285,15.2308,0.07,5e-05,,LZ3,6.0
2041979,0.653694,0.653639,0.653666,0.999916,276,1.5,1.2,2.4,1.3,16.14,0.63,1378,57.5,5.3,66.8,5.7,16.27,0.64,1.5298,1.5944,15.4607,0.063,6.6223,1.5299,1.5816,19.3442,0.0024,6.8018,0.01,8e-05,,LZ5,7.0
2050107,0.686454,0.686466,0.68646,1.000017,190,16.4,3.9,19.8,3.9,14.22,0.78,1388,22.3,3.3,22.9,3.4,14.3,0.64,1.4568,1.4906,29.5159,0.157,4.531,1.4567,1.4633,151.2859,0.0025,9.8127,0.14,2e-05,,LZ5,6.0
2101707,0.591529,0.591528,0.591528,0.999998,240,1.6,1.1,1.6,1.2,16.33,0.69,280,14.8,2.6,14.8,2.6,16.39,1.23,1.6905,1.7244,29.5683,0.0466,8.0803,1.6905,1.6956,197.8239,0.0056,8.4261,0.54,0.0,,LZ3,5.0
2122319,0.359422,0.359424,0.359423,1.000006,519,7.2,2.1,7.2,2.2,15.64,0.38,199,36.6,6.1,36.5,6.2,15.67,0.55,2.7822,2.8161,29.5421,0.0269,16.6582,2.7822,2.8926,9.0645,0.0044,8.681,0.17,1e-05,,LZ5,7.0
2229607,0.575179,0.575211,0.575195,1.000056,290,2.7,1.2,2.8,1.2,16.13,0.55,731,38.3,4.4,48.2,4.3,16.11,0.81,1.7386,1.8093,14.1383,0.0626,7.3519,1.7385,1.7433,207.2539,0.0017,10.3544,0.26,6e-05,,LZ4,8.0
2230438,0.465877,0.46587,0.465874,0.999985,246,2.9,1.1,2.9,1.1,15.52,0.84,531,29.1,2.6,34.8,2.7,15.45,1.24,2.1465,2.217,14.1784,0.0723,9.8121,2.1465,2.2184,13.9082,0.0097,18.1042,0.4,2e-05,,LZ3,5.0
2243683,0.579777,0.579803,0.57979,1.000045,531,22.0,3.1,24.8,3.2,15.07,0.52,262,36.0,4.3,42.2,4.3,14.96,0.56,1.7248,1.7588,29.4204,0.0526,16.6097,1.7247,1.7303,180.018,0.0141,8.5969,0.04,4e-05,,LZ5,6.0
2251043,0.533678,0.467972,0.500825,0.876881,462,7.2,2.1,13.1,3.3,16.12,0.34,177,154.9,14.2,326.3,15.9,15.98,0.62,1.8738,1.9077,29.4724,0.0386,12.4368,2.1369,2.2254,11.302,0.0069,10.6908,0.28,0.1312,,LZ5,9.0
2264042,0.655373,0.655391,0.655382,1.000027,391,6.5,1.6,6.8,1.6,15.81,0.74,299,57.4,4.0,58.4,3.9,15.71,0.76,1.5258,1.5597,29.5465,0.065,8.5938,1.5258,1.5313,182.4818,0.0199,10.8262,0.02,3e-05,,LZ4,5.0
2280940,0.562372,0.562374,0.562373,1.000004,310,1.4,1.1,1.4,1.1,16.22,0.84,735,17.5,3.2,17.3,3.2,16.2,1.01,1.7782,1.8461,14.7286,0.0537,5.6057,1.7782,1.7847,153.2567,0.0019,14.1571,0.17,0.0,,LZ4,6.0
