LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
514883,0.557723,0.557737,0.55773,1.000025,289,5.3,1.7,5.4,1.6,15.43,0.55,555,53.7,5.5,55.4,5.5,15.5,0.72,1.793,1.8472,18.4655,0.0566,8.1238,1.793,1.7958,357.1429,0.0149,17.9476,0.17,3e-05,NaN,NaN,NaN
516954,0.29757,0.297569,0.29757,0.999997,243,5.6,2.3,5.6,2.3,15.56,0.52,1164,2.7,1.3,2.9,1.4,15.65,0.6,3.3606,3.4523,10.8962,0.0127,7.4471,3.3606,3.3634,357.7818,0.0096,25.9824,0.08,0.0,NaN,NaN,NaN
523832,0.372376,0.372384,0.37238,1.000021,251,1.8,1.2,1.9,1.3,15.36,0.42,42,0.8,1.1,1.0,1.0,15.41,0.59,2.6855,2.804,8.437,0.0234,6.0627,2.6854,2.7122,37.3413,0.1528,6.3617,0.17,2e-05,NaN,NaN,NaN
558961,0.600532,0.600547,0.60054,1.000025,213,11.9,2.2,13.2,2.2,14.37,0.55,61,2.0,1.7,1.8,1.6,14.25,0.55,1.6652,1.7357,14.1753,0.1456,7.6709,1.6651,1.668,352.1127,0.2541,10.4753,0.0,2e-05,NaN,NaN,NaN
608497,0.485636,0.748671,0.617154,1.54163,556,20.4,2.5,166.4,7.8,14.85,0.86,37,504.9,10.5,572.4,9.4,-2.73,19.1,2.0592,2.093,29.529,0.0467,17.4563,1.3357,1.3432,133.6898,0.2401,2.7277,18.24,0.42621,NaN,NaN,NaN
658512,0.96905,2.708902,1.838976,2.79542,404,2.4,1.5,2.9,1.5,16.71,0.31,42,25.0,5.4,117.3,9.5,16.56,0.67,1.0319,1.0479,62.7549,0.0268,5.8382,0.3692,0.3806,87.2981,0.4232,3.5915,0.36,0.9461,NaN,NaN,NaN
664583,0.602994,0.603021,0.603008,1.000045,449,1.8,1.1,2.8,1.4,16.18,0.56,613,11.1,2.5,15.2,2.8,16.14,0.53,1.6584,1.6612,357.7818,0.0407,10.5905,1.6583,1.6666,120.4094,0.0118,13.1021,0.03,4e-05,NaN,NaN,NaN
670864,0.600802,0.39581,0.498306,0.658803,336,1.2,0.9,3.7,1.6,16.49,0.52,42,115.1,10.6,98.3,10.0,-6.02,23.53,1.6644,1.7415,12.9811,0.0327,5.4363,2.5265,2.5564,33.3667,0.1115,4.3959,23.01,0.41138,NaN,NaN,NaN
717668,0.426744,0.426758,0.426751,1.000033,302,1.6,1.2,2.0,1.4,15.47,0.32,428,3.9,1.7,4.7,1.9,15.41,0.32,2.3433,2.4138,14.1834,0.0556,12.8463,2.3432,2.3515,121.2856,0.0074,12.1149,0.0,3e-05,NaN,NaN,NaN
734545,0.289482,0.702579,0.49603,2.427021,305,3.3,1.7,19.1,4.2,15.21,0.29,41,28.6,5.4,78.0,9.4,15.08,0.44,3.4545,3.5249,14.1874,0.0244,19.1143,1.4233,1.4379,68.7994,0.1395,3.9231,0.15,0.83281,NaN,NaN,NaN
737951,0.357023,0.357023,0.357023,1.0,273,6.0,2.2,6.0,2.2,15.8,0.43,871,42.4,6.7,42.4,6.7,15.77,0.34,2.8009,2.8038,353.3569,0.041,16.2037,2.8009,2.8039,332.2259,0.002,13.7006,0.09,0.0,NaN,NaN,NaN
771232,0.54093,0.540941,0.540936,1.00002,301,1.1,1.0,1.7,1.1,15.48,0.93,889,4.7,1.6,9.4,1.8,15.47,0.89,1.8487,1.9257,12.9811,0.0776,11.0819,1.8486,1.9257,12.9744,0.0263,12.6381,0.04,2e-05,NaN,NaN,NaN
798477,0.651627,0.651611,0.651619,0.999975,294,2.0,1.2,2.2,1.1,16.09,0.61,139,17.8,3.5,19.0,3.9,16.11,0.78,1.5346,1.5984,15.6838,0.0881,4.7069,1.5347,1.6041,14.3968,0.0459,5.3663,0.17,2e-05,NaN,NaN,NaN
803829,0.595281,0.595286,0.595284,1.000008,270,8.7,2.3,9.7,2.7,14.16,0.91,561,9.9,2.6,9.7,2.5,14.06,1.34,1.6799,1.7205,24.5912,0.0937,6.0599,1.6799,1.6828,335.5705,0.0082,17.8498,0.43,1e-05,NaN,NaN,NaN
810169,0.465185,0.465212,0.465198,1.000058,289,6.0,2.1,8.2,2.3,15.47,0.77,743,15.1,2.8,31.4,3.6,15.59,0.75,2.1497,2.2232,13.6017,0.066,9.937,2.1496,2.223,13.6082,0.0077,16.149,0.02,6e-05,NaN,NaN,NaN
813450,0.589387,0.589389,0.589388,1.000003,221,2.0,1.3,2.0,1.3,15.91,0.7,431,2.3,1.0,2.5,1.0,15.98,0.93,1.6967,1.7703,13.5796,0.055,4.3633,1.6967,1.7022,181.8182,0.0094,19.6983,0.23,0.0,NaN,NaN,NaN
836895,0.473399,0.473398,0.473398,0.999998,194,3.0,1.3,2.7,1.3,14.98,1.09,612,11.1,2.8,11.1,2.8,14.86,1.49,2.1124,2.1672,18.2415,0.113,9.0696,2.1124,2.1673,18.2232,0.0095,21.7736,0.4,0.0,NaN,NaN,NaN
843294,0.374216,0.374214,0.374215,0.999995,290,3.3,1.4,3.4,1.4,15.53,0.36,358,5.1,1.7,5.1,1.7,15.44,0.36,2.6723,2.706,29.6252,0.0287,11.4573,2.6723,2.6778,180.1802,0.0114,13.3321,0.0,1e-05,NaN,NaN,NaN
851716,1.908191,0.388356,1.148274,0.203521,100,1.3,1.2,4.2,1.5,15.93,0.64,147,39.7,5.3,111.9,11.7,16.08,0.38,0.5241,0.5241,0.0,1.0276,4.1798,2.575,2.5778,354.6099,0.0139,12.9547,0.26,1.32358,NaN,NaN,NaN
856862,0.625858,1.251798,0.938828,2.000131,294,1.1,1.0,4.1,2.1,16.28,0.45,26,1.6,1.2,54.7,7.7,16.33,0.6,1.5978,1.6344,27.3635,0.0598,6.4407,0.7989,0.7989,0.0,1.1855,3.1868,0.15,0.66672,NaN,NaN,NaN
869112,0.63569,1.753223,1.194456,2.757984,322,1.0,0.9,7.0,2.6,15.76,0.34,32,4.4,2.1,90.5,10.3,15.75,0.54,1.5731,1.6071,29.4118,0.0376,7.7453,0.5704,0.5965,38.2263,0.4474,1.7934,0.2,0.9356,NaN,NaN,NaN
872620,0.549247,0.549248,0.549248,1.000002,282,1.1,1.0,1.1,1.0,16.12,0.85,272,2.8,1.5,2.8,1.5,16.19,0.63,1.8207,1.8289,121.2856,0.0437,8.4914,1.8207,1.8303,103.6269,0.0136,7.6183,0.22,0.0,NaN,NaN,NaN
880568,0.628261,1.157215,0.892738,1.841934,200,19.6,2.5,75.5,8.1,15.25,0.73,30,19.2,1.6,139.6,10.4,15.15,0.74,1.5917,1.6509,16.8805,0.0451,5.4653,0.8641,0.8862,45.3309,0.3284,6.8349,0.01,0.59251,NaN,NaN,NaN
880588,0.600138,0.600134,0.600136,0.999993,295,3.2,1.2,3.3,1.2,16.08,0.91,442,23.4,2.4,23.4,2.4,16.08,0.84,1.6663,1.691,40.5268,0.0618,7.4387,1.6663,1.6736,136.4256,0.0109,14.7971,0.07,1e-05,NaN,NaN,NaN
883073,0.725513,2.661727,1.69362,3.668752,302,1.0,1.0,4.4,1.9,16.13,0.43,32,9.5,2.9,58.3,5.5,16.14,0.61,1.3783,1.4148,27.4198,0.0516,6.0413,0.3757,0.3853,104.6572,0.5383,3.8066,0.18,1.14324,NaN,NaN,NaN
895953,0.658156,0.658154,0.658155,0.999997,297,0.5,0.7,0.5,0.7,16.42,0.46,408,3.4,1.5,3.4,1.5,16.41,0.5,1.5194,1.5528,29.976,0.082,6.3073,1.5194,1.5554,27.7971,0.0144,11.3371,0.04,0.0,NaN,NaN,NaN
899832,0.589463,12.401002,6.495232,21.037795,285,9.3,2.1,194.2,15.8,14.61,0.61,6,0.0,0.2,0.0,0.1,-102.56,255.0,1.6965,1.7264,33.4057,0.0446,6.5135,0.0806,0.0806,0.0,250191.7926,11706.7282,254.39,1.81849,NaN,NaN,NaN
924301,0.507503,0.50744,0.507472,0.999876,418,13.8,1.9,35.3,3.8,15.42,0.87,189,162.9,9.3,224.9,11.1,15.65,0.79,1.9704,2.0043,29.5072,0.0503,11.4848,1.9707,1.9763,178.4121,0.0219,18.8612,0.08,0.00012,NaN,NaN,NaN
966279,0.517279,0.51727,0.517275,0.999983,330,6.1,1.5,6.3,1.4,15.49,0.92,607,21.0,2.7,22.1,2.6,15.54,0.82,1.9332,2.001,14.7406,0.0974,7.0202,1.9332,2.0027,14.3978,0.0225,74.0537,0.1,2e-05,NaN,NaN,NaN
967924,0.643331,0.643319,0.643325,0.999981,227,0.7,0.9,0.9,0.9,16.03,0.92,569,3.0,1.4,6.5,1.6,15.93,1.27,1.5544,1.6221,14.7667,0.1028,4.8919,1.5544,1.5592,210.9705,0.0039,10.6123,0.35,2e-05,NaN,NaN,NaN
968962,0.579336,0.579334,0.579335,0.999997,235,1.1,1.0,1.1,1.0,15.83,0.84,711,3.4,1.4,3.5,1.4,15.77,0.8,1.7261,1.7934,14.8644,0.0487,5.5774,1.7261,1.7311,199.2032,0.0025,9.9951,0.04,0.0,NaN,NaN,NaN
969277,1.003276,0.691657,0.847466,0.689399,220,13.0,2.8,26.9,4.2,15.62,0.55,676,2.5,1.2,214.1,18.0,15.47,0.75,0.9967,0.9996,344.8276,0.1492,5.1783,1.4458,1.4508,200.4008,0.0061,12.1799,0.2,0.36771,NaN,NaN,NaN
970326,0.592233,0.592231,0.592232,0.999997,275,1.9,1.1,1.9,1.1,15.91,0.51,552,7.7,2.1,7.6,2.1,15.88,0.75,1.6885,1.7563,14.7656,0.0676,7.0802,1.6885,1.6992,93.2836,0.0052,18.7531,0.24,0.0,NaN,NaN,NaN
976746,0.620673,0.620663,0.620668,0.999984,236,3.9,1.6,4.0,1.6,14.97,0.45,91,2.3,1.4,2.4,1.5,14.89,0.4,1.6112,1.679,14.7493,0.0645,6.9597,1.6112,1.6844,13.6603,0.0372,7.4582,0.05,2e-05,NaN,NaN,NaN
989567,0.316227,0.632456,0.474342,2.000006,283,1.4,1.1,4.5,2.3,15.95,0.25,69,4.4,2.3,40.7,5.1,15.73,0.8,3.1623,3.23,14.7601,0.0213,9.6479,1.5811,1.6291,20.8485,0.1268,5.2613,0.55,0.66667,NaN,NaN,NaN
991055,0.347282,0.997648,0.672465,2.872732,131,2.7,1.3,10.2,3.3,15.47,0.43,104,130.4,12.2,116.9,12.1,15.32,16.81,2.8795,3.0117,7.5637,0.0695,7.0298,1.0024,1.0072,207.6843,0.0826,2.2531,16.38,0.96714,NaN,NaN,NaN
993105,0.794678,0.794668,0.794673,0.999987,205,0.9,0.9,0.9,0.9,15.92,0.34,115,1.0,1.0,1.0,1.0,15.85,0.23,1.2584,1.2963,26.3401,0.0815,6.0884,1.2584,1.2646,161.4205,0.0236,10.636,0.11,1e-05,NaN,NaN,NaN
999528,0.658401,0.658407,0.658404,1.000009,564,1.8,1.2,1.9,1.2,16.22,0.57,213,21.7,2.7,22.0,2.6,16.21,0.92,1.5188,1.5527,29.5247,0.0685,14.9114,1.5188,1.551,31.0366,0.0156,13.0403,0.35,1e-05,NaN,NaN,NaN
1004849,0.458463,0.458467,0.458465,1.000009,607,6.5,1.3,6.8,1.3,15.71,1.14,193,14.7,2.6,16.4,2.5,15.58,1.6,2.1812,2.2151,29.4985,0.0453,12.0305,2.1812,2.2704,11.2039,0.0257,13.5826,0.46,1e-05,NaN,NaN,NaN
1005497,0.653607,0.653605,0.653606,0.999997,607,2.1,1.1,2.1,1.1,15.66,0.6,192,12.4,2.1,12.8,2.1,15.76,0.83,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.5481,55.1116,0.0233,12.4111,0.23,0.0,NaN,NaN,NaN
1013889,0.504572,0.50452,0.504546,0.999897,228,3.8,1.3,5.8,1.5,16.05,0.72,106,28.0,4.4,34.2,3.8,16.23,0.49,1.9819,2.0444,15.9885,0.1049,5.7851,1.9821,1.9924,97.1345,0.0157,9.6744,0.23,0.0001,NaN,NaN,NaN
1032186,0.997228,2.637662,1.817445,2.644994,140,4.5,2.3,2.9,1.8,-3589.25,3605.43,21,31.5,6.4,19.5,2.0,15.46,1144.44,1.0028,1.0187,62.9129,0.1392,5.3574,0.3791,0.391,84.5309,1.7176,3.8082,2460.99,0.9026,NaN,NaN,NaN
1034627,0.620331,0.620278,0.620304,0.999915,167,4.9,1.3,8.8,1.9,15.15,0.37,585,18.3,3.2,23.4,3.7,15.12,0.34,1.612,1.6257,73.2332,0.0632,4.7082,1.6122,1.6187,154.0832,0.0016,9.0874,0.03,9e-05,NaN,NaN,NaN
1049602,0.302012,0.302016,0.302014,1.000013,220,2.3,1.4,2.4,1.4,14.88,0.39,475,1.4,1.1,1.9,1.2,14.8,0.37,3.3111,3.345,29.4898,0.0544,18.8781,3.3111,3.3159,207.2539,0.0016,13.5462,0.02,1e-05,NaN,NaN,NaN
1051321,0.330482,0.330481,0.330482,0.999997,558,5.6,1.2,5.6,1.2,15.06,0.33,353,1.9,1.3,1.9,1.3,14.99,0.33,3.0259,3.0598,29.5029,0.0412,20.8807,3.0259,3.0314,180.3427,0.0156,12.6928,0.0,0.0,NaN,NaN,NaN
1051858,0.632085,0.632085,0.632085,1.0,552,0.6,0.7,0.6,0.7,16.66,0.38,276,1.2,1.1,1.2,1.1,16.77,0.53,1.5821,1.616,29.4551,0.0418,14.092,1.5821,1.5853,313.4796,0.0118,11.0653,0.15,0.0,NaN,NaN,NaN
1058132,0.632859,0.632854,0.632856,0.999992,607,0.8,0.8,0.8,0.8,16.27,0.44,187,1.6,1.0,1.6,1.0,16.39,0.59,1.5801,1.614,29.5072,0.0689,17.1991,1.5801,1.6005,49.0798,0.0096,10.6258,0.15,1e-05,NaN,NaN,NaN
