ID,Porig,Pnew,ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,lab,bab
12088350,0.48653905,0.4865328,218.255463,18.215122,1.15,0.13,1.19,0.35,-0.3128823,0.64,-0.6,-0.34,16.41,221,1,0.30400144911237215,1.1342894808711146
12091674,0.71122498,0.71125192,218.188843,18.870298,1.14,0.3,1.28,0.25,-0.147993,0.42,-0.26,-0.86,16.04,216,1,0.3275983005993357,1.140083973987736
12093139,0.50944805,0.50945876,219.134552,18.812811,1.12,0.27,1.03,0.2,-0.2929001,0.89,-0.55,-0.95,15.59,198,1,0.3404439238940138,1.1254057549784635
12102822,0.56279302,0.56277866,218.926712,19.950924,1.21,0.11,0.73,0.11,-0.2496513,0.53,-0.48,-0.41,15.38,200,1,0.3803246973020844,1.1362617029258684
12105373,0.71472603,0.71471188,218.836655,19.472204,1.18,0.17,1.08,0.27,-0.1458604,0.69,-0.56,-0.78,16.5,224,1,0.3606722899246284,1.1344814670888341
12105672,0.48418597,0.484179,219.274277,20.577394,1.2,0.31,1.05,0.42,-0.3149878,0.89,-0.61,-0.58,15.97,254,1,0.40938442934778996,1.1348828928167929
12108241,0.46007401,0.46007603,219.985214,22.130819,1.27,-0.1,0.74,0.3,-0.3371723,0.99,-0.75,-0.75,15.49,110,1,0.4788136269921246,1.1325965114966803
12146066,0.55396305,0.55397893,218.008316,28.411694,1.16,0.28,1.17,0.33,-0.2565192,0.66,0.04,0.56,16.07,203,1,0.7350105078923721,1.1824780215186783
12149191,0.59768203,0.59769519,219.449371,27.872072,1.2,0.36,1.02,0.04,-0.2235298,0.49,-0.06,-0.04,16.74,231,1,0.714415622718839,1.159753834657712
12172879,0.37728896,0.37728578,219.321259,4.124844,1.22,0.12,1.09,0.32,-0.4233259,0.39,0.64,-0.43,15.86,229,2,-0.08269369995949205,0.9746093076061536
12173292,0.27548801,0.27548755,219.656342,4.489676,1.2,-0.12,0.65,-0.02,-0.5598973,0.43,0.09,-1.39,15.68,234,2,-0.06733480254194113,0.9749409201640324
12181468,0.58179502,0.58180481,218.548035,-1.913239,1.19,0.18,1.01,0.34,-0.23523,0.72,-0.79,-0.34,15.0,233,1,-0.2188293816150484,0.90488340398898
12191421,0.57723798,0.57724898,218.692078,32.392872,1.11,0.27,1.23,0.49,-0.2386451,0.74,0.52,5.04,15.4,228,1,0.9149539537729874,1.1698243844417193
12192232,0.64251208,0.64250642,219.669388,32.129681,1.11,0.31,1.1,0.32,-0.1921187,0.68,-0.92,-0.15,15.09,223,1,0.8997521359881171,1.1559490168883644
12192263,0.56799498,0.56799,219.460999,31.73559,1.18,0.29,1.38,0.42,-0.2456555,0.69,-0.36,-0.82,15.89,220,1,0.8833111344343303,1.1595967550250326
12201893,0.66781612,0.6678332,219.917526,33.030437,1.2,0.32,1.4,0.76,-0.1753431,0.65,-0.04,-0.11,16.7,166,1,0.9373465280760751,1.1506432159623017
12217047,0.58341904,0.58342063,218.714401,38.481884,1.11,0.31,1.4,0.33,-0.2340194,0.73,-0.69,-0.47,16.44,210,1,1.1728612573401893,1.1449534426008001
12225068,0.73088997,0.73086164,219.463074,40.797318,1.11,0.25,1.16,0.22,-0.136148,0.55,0.91,2.36,15.76,210,1,1.2524831778161705,1.1205537396579195
12229884,0.30390798,0.30391224,218.457993,40.880444,1.26,-0.15,0.84,0.19,-0.5172579,0.57,-0.18,-1.04,16.65,170,2,1.2683133141317597,1.132055459428562
12246112,0.62454207,0.62455694,219.957779,43.300915,1.17,0.36,1.28,0.38,-0.2044383,0.43,-0.82,-0.37,15.51,218,1,1.3345834658299838,1.0958747840347196
12246346,0.51253202,0.51254756,219.407669,44.385918,1.2,0.05,0.76,-0.03,-0.290279,0.99,-0.48,-0.06,16.65,201,1,1.3780247109121229,1.0928030045512096
12246627,0.66105501,0.66105898,219.362167,46.861668,1.17,0.1,0.79,0.34,-0.1797624,0.68,-0.49,-0.34,16.76,229,1,1.4565121673743082,1.0702533506154428
12252043,0.70454202,0.70450419,219.354141,46.573067,1.24,-0.16,0.73,0.42,-0.1520931,0.74,-0.53,-1.08,16.25,188,1,1.447890240869456,1.0731505971737534
12259713,0.61410509,0.61409862,218.735641,47.936363,1.22,0.38,1.25,0.3,-0.2117573,0.4,-0.04,-0.61,16.44,226,1,1.4971259790682154,1.0654187885874185
12282761,0.63509399,0.63510312,218.248398,-3.199233,1.17,0.12,1.0,0.31,-0.197162,0.45,0.06,0.74,16.3,265,1,-0.24759240768791457,0.8904146244899471
12286050,0.7057211,0.7057135,219.161514,51.526752,1.16,0.35,1.69,0.68,-0.1513669,0.65,0.16,-0.78,16.84,229,1,1.5883543390699595,1.0224138758182781
12288666,0.59384103,0.59385805,219.610184,51.935848,1.11,0.34,1.23,0.18,-0.2263298,0.86,-0.7,-0.7,16.02,250,1,1.5926303957373458,1.0140712019937452
12290136,0.66182703,0.66181717,219.586197,52.564964,1.14,0.12,1.04,0.29,-0.1792555,0.36,0.17,-1.32,14.89,192,1,1.608512891930494,1.007054978400728
12292722,0.30223106,0.30223558,218.579651,53.321255,1.23,-0.05,0.74,0.03,-0.5196609,0.51,-0.12,-0.67,15.9,194,2,1.6400858980990716,1.005903061094412
12307056,0.56980401,0.56980397,219.452164,57.77409,1.17,0.28,1.32,0.26,-0.2442745,0.71,-0.71,-0.37,15.72,177,1,1.7262004433924716,0.9443627516690918
12316108,0.40998201,0.40999319,218.000748,61.031998,1.09,0.23,1.05,0.19,-0.3872352,0.58,0.23,-0.06,16.44,160,2,1.803954861568819,0.9094038067516453
12330695,0.30707701,0.30707506,218.820007,8.626795,1.19,-0.44,1.42,0.2,-0.5127527,0.36,0.18,-1.35,14.59,235,2,0.013945180723434536,1.0343519279019195
12338372,0.59998501,0.59998107,218.931625,10.785328,1.12,0.36,1.31,0.47,-0.2218596,0.65,-0.36,-1.14,16.99,100,1,0.07487462491055652,1.0564827028172075
