objectID,raLIN,decLIN,raSDSS,decSDSS,r,ug,gr,ri,iz,JK,<mL>,std,rms,Lchi2,LP1,phi1,S,prior,nobs
2241015,176.42007,4.53525,176.42012,4.535115,16.34,1.12,0.22,0.13,0.04,0.21,16.25,0.2,0.26,1.36,-0.19,-0.06,-1,0,501
22424347,157.32812,6.03958,157.328018,6.039524,15.8,1.28,0.05,-0.05,-0.02,0.39,16.31,0.3,0.37,1.93,-0.25,0.0,1,0,505
2243683,176.80893,3.53774,176.808884,3.537556,15.58,1.12,0.2,0.07,0.08,0.23,15.4,0.18,0.23,2.05,0.06,0.05,-1,0,531
2248787,176.58072,3.13357,176.580627,3.133449,15.82,1.18,0.27,0.1,0.01,0.09,15.75,0.23,0.31,2.04,-0.25,0.03,-1,0,540
2248829,177.30263,3.53215,177.302551,3.532083,16.55,1.16,0.08,-0.01,-0.01,-0.01,16.94,0.25,0.26,1.41,0.2,-0.12,1,0,548
22489941,157.5912,8.34167,157.591095,8.341522,16.04,1.22,0.14,0.03,0.0,0.31,16.14,0.31,0.35,2.04,-0.34,0.0,1,0,441
2251043,177.92363,-1.14709,177.923584,-1.147013,16.3,1.15,0.07,0.05,0.01,0.05,16.33,0.18,0.2,1.22,0.89,-0.01,-1,0,462
22515281,158.60564,2.8739,158.605621,2.87395,16.14,1.18,0.01,-0.0,-0.06,-0.04,16.14,0.12,0.16,0.9,-0.06,0.0,1,0,508
22517148,158.29883,2.2341,158.298798,2.234034,15.71,1.11,0.12,-0.02,-0.05,0.39,15.83,0.14,0.19,1.28,-0.17,-0.07,-1,0,421
22517285,159.3394,1.9372,159.339355,1.937183,15.93,1.13,0.24,0.08,0.02,0.33,15.94,0.25,0.31,1.91,-0.19,-0.03,-1,0,448
22518150,159.97353,1.06618,159.97345,1.066065,16.76,1.15,0.27,0.09,0.0,-0.03,16.73,0.22,0.26,1.08,-0.25,-0.13,-1,0,473
22518189,158.89665,2.04022,158.896622,2.040138,15.12,1.15,0.24,0.1,0.02,0.3,15.04,0.13,0.16,1.8,0.19,0.19,-1,0,433
22518636,158.18059,1.04211,158.180542,1.04202,15.19,1.23,-0.07,-0.09,-0.06,-0.08,15.54,0.15,0.21,1.71,-0.25,-0.03,1,0,546
2252873,177.17329,-2.85242,177.173218,-2.852527,16.18,1.19,0.25,0.11,0.03,0.18,16.18,0.1,0.12,0.76,0.15,-0.02,-1,0,397
22529369,158.95421,0.48127,158.954178,0.481281,16.21,1.24,0.06,-0.04,-0.03,0.74,16.79,0.29,0.35,1.51,-0.29,-0.04,-1,0,518
22530805,159.47769,0.32618,159.477615,0.326206,15.59,1.16,0.24,0.08,0.02,0.44,15.88,0.13,0.17,1.27,-0.2,-0.02,-1,0,459
22531626,159.38245,-0.66444,159.382416,-0.664488,16.91,1.16,0.21,0.07,0.03,-0.03,16.95,0.28,0.33,1.41,-0.28,-0.04,-1,0,384
22531805,159.48145,-0.82723,159.481354,-0.827253,16.65,1.22,0.03,-0.05,-0.03,-0.03,16.83,0.16,0.19,0.62,-0.02,-0.04,-1,0,376
22532172,159.1545,-0.68661,159.154495,-0.68661,15.37,1.24,-0.01,-0.07,-0.05,0.19,16.02,0.22,0.26,1.71,0.02,-0.04,-1,0,417
22542105,158.85504,11.61806,158.85498,11.617922,14.84,1.17,0.23,0.09,0.01,0.28,14.87,0.19,0.26,2.42,0.06,-0.09,-1,0,537
22542640,159.92342,11.30505,159.923416,11.305057,15.94,1.15,0.06,0.02,0.01,0.53,16.08,0.12,0.15,1.04,0.11,0.02,1,0,586
22571231,159.71739,15.08389,159.717438,15.083893,15.96,1.15,0.14,0.09,0.01,0.22,16.02,0.19,0.23,1.63,-0.21,-0.09,1,0,500
22577615,158.85344,17.02185,158.853348,17.021719,16.12,1.12,0.13,0.04,-0.01,0.07,16.08,0.14,0.19,1.17,-0.48,-0.02,-1,0,524
22587948,158.40208,17.51776,158.402298,17.517761,16.07,1.29,0.42,0.15,0.04,0.5,16.04,0.12,0.09,0.57,-0.78,0.05,-1,0,393
22588921,159.97713,19.04006,159.977142,19.039978,16.71,1.18,0.46,0.16,0.03,0.37,16.7,0.15,0.19,0.67,-0.47,0.14,-1,0,288
22592060,158.53229,19.9431,158.532333,19.943081,16.23,1.14,0.19,0.01,0.04,0.34,16.31,0.16,0.17,1.16,0.27,-0.07,-1,0,355
22597768,159.82536,20.58803,159.825272,20.58795,16.37,1.07,0.18,0.06,0.0,0.51,16.31,0.29,0.39,1.88,-0.23,-0.03,1,0,334
22598680,158.8555,19.80975,158.855438,19.809732,15.45,1.11,0.04,-0.03,-0.1,0.24,15.58,0.14,0.11,1.29,-0.13,-0.02,-1,0,359
22601072,159.72168,22.332,159.721588,22.332005,15.91,1.23,0.06,-0.04,-0.03,0.51,16.17,0.33,0.45,2.0,-0.3,0.0,1,0,343
22601475,159.78676,22.27614,159.786652,22.276144,15.54,1.12,0.06,-0.02,-0.06,0.31,15.49,0.11,0.11,1.23,-0.3,-0.0,1,0,335
22603370,158.98167,22.65108,158.981644,22.651024,16.86,1.1,0.15,0.04,-0.01,0.4,16.81,0.15,0.21,0.75,-0.09,0.08,1,0,336
22624786,159.35583,25.40116,159.355804,25.401014,16.98,1.12,0.25,0.1,0.02,0.31,16.95,0.16,0.2,0.63,-0.21,-0.18,-1,0,308
22632472,159.62515,28.63866,159.625061,28.638597,16.43,1.19,0.22,0.07,0.06,0.59,16.48,0.19,0.22,1.03,-0.19,-0.11,-1,0,281
22639551,159.47586,29.48727,159.475845,29.487293,14.76,1.17,0.23,0.09,0.02,0.26,14.62,0.17,0.22,2.35,-0.18,-0.16,-1,0,298
2264042,176.73106,-1.23601,176.731003,-1.23615,16.13,1.1,0.17,0.06,0.02,0.48,16.27,0.25,0.27,1.59,0.12,-0.02,-1,0,391
22656422,159.80162,3.25809,159.801605,3.258033,16.2,1.22,0.22,0.05,0.01,0.31,16.43,0.19,0.23,1.31,-0.22,0.06,-1,0,473
22656713,159.8018,3.99653,159.801788,3.996523,16.29,1.24,0.22,0.1,-0.06,0.17,16.55,0.19,0.22,1.22,-0.23,-0.02,-1,0,458
22657637,158.37167,3.44095,158.371643,3.440842,16.52,1.14,0.03,-0.03,-0.04,0.26,16.83,0.17,0.2,0.79,-0.08,-0.09,-1,0,504
22660510,158.34836,4.29159,158.348297,4.291572,15.11,1.14,0.17,0.03,-0.03,0.39,15.5,0.24,0.27,2.47,-0.26,-0.22,-1,0,438
22678238,159.67439,31.22043,159.674362,31.220291,15.75,1.16,0.13,0.02,-0.02,0.38,16.0,0.34,0.42,2.14,-0.25,-0.01,1,0,312
22682678,158.69966,32.1483,158.699615,32.148243,16.39,1.14,0.24,0.09,-0.01,0.34,16.26,0.25,0.33,1.48,-0.24,-0.32,-1,0,267
226947,122.93174,34.45053,122.931725,34.4506,15.67,1.08,0.36,0.11,0.03,0.41,15.86,0.29,0.19,1.2,2.91,-0.12,-1,0,367
22705180,158.98265,38.37061,158.98262,38.370506,16.52,1.15,0.2,0.08,-0.02,0.03,16.4,0.29,0.33,1.78,-0.31,-0.26,1,0,317
22708283,158.41994,40.95167,158.419922,40.951595,15.07,1.24,-0.03,-0.08,-0.06,0.19,15.2,0.12,0.14,1.51,0.04,0.12,-1,0,258
22714229,158.61905,39.25542,158.61908,39.255444,14.51,1.17,0.09,0.0,-0.03,0.15,14.51,0.14,0.18,2.17,-0.18,0.01,-1,0,282
22717785,158.52347,42.42311,158.523331,42.422913,16.14,1.21,0.08,0.01,0.0,0.56,16.16,0.21,0.24,1.54,-0.3,0.02,1,0,406
22720792,158.59502,42.12392,158.595047,42.123806,15.15,1.24,-0.06,-0.06,-0.06,0.14,15.43,0.31,0.21,1.69,-0.44,0.01,-1,0,280
22761613,158.93587,5.40994,158.935806,5.40992,15.34,1.12,-0.13,-0.12,-0.12,0.28,15.51,0.12,0.12,1.13,-0.15,0.04,-1,0,542
2276533,177.31055,33.22313,177.310486,33.223064,16.18,1.12,0.3,0.08,0.02,0.32,16.25,0.2,0.26,1.31,-0.23,-0.19,-1,0,322
2280940,177.14738,36.5315,177.147263,36.531551,16.24,1.23,-0.01,-0.07,-0.07,0.25,16.78,0.28,0.26,1.12,-0.25,-0.03,1,0,310
22828215,158.23477,9.95446,158.234695,9.954562,15.18,1.11,0.25,0.09,0.01,0.37,15.18,0.21,0.25,2.28,-0.24,-0.04,-1,0,585
22829618,158.89417,9.49863,158.894135,9.498466,15.28,1.13,0.06,-0.06,-0.09,0.27,15.57,0.11,0.14,1.34,-1.16,0.02,1,0,595
22839182,160.16054,2.48967,160.160599,2.489647,16.46,1.16,0.01,-0.07,-0.04,1.09,16.96,0.23,0.28,1.0,-0.24,-0.2,1,0,507
22843222,161.09554,1.28949,161.095444,1.289466,16.09,1.15,0.05,-0.0,-0.05,0.34,16.27,0.13,0.18,0.93,-0.44,-0.01,-1,0,398
2284940,176.03674,35.6152,176.036682,35.615185,16.91,1.13,0.24,0.06,0.03,0.57,16.74,0.28,0.35,1.29,-0.29,-0.04,-1,0,310
2285108,177.60855,36.00838,177.608521,36.008293,16.32,1.13,0.25,0.07,0.03,0.5,16.23,0.24,0.31,1.59,-0.2,0.16,-1,0,340
22857421,161.72997,0.76425,161.729874,0.764149,15.24,1.19,0.12,0.04,-0.03,0.17,15.29,0.21,0.23,2.12,-0.01,-0.06,1,0,488
22865691,161.12305,11.51171,161.122955,11.511679,16.3,1.14,0.18,0.07,-0.06,0.13,16.24,0.33,0.39,2.25,-0.34,-0.15,-1,0,568
22894803,160.40858,16.34927,160.408554,16.349218,16.74,1.21,0.46,0.16,0.05,0.38,16.97,0.18,0.2,0.52,-0.57,0.02,-1,0,544
22911175,161.62173,18.75271,161.62178,18.752634,16.24,1.08,0.21,0.06,-0.01,0.08,16.25,0.27,0.35,1.96,-0.25,0.0,-1,0,276
22922490,161.60168,20.14811,161.601685,20.148039,16.11,1.25,-0.15,-0.08,-0.06,0.43,16.57,0.17,0.2,0.89,0.01,0.0,-1,0,263
22924523,161.23201,20.38905,161.231995,20.38896,15.98,1.22,0.03,-0.01,-0.03,0.35,16.46,0.27,0.31,1.8,-0.23,-0.04,1,0,308
22925465,161.46446,22.81729,161.464401,22.817156,16.42,1.17,-0.01,-0.05,-0.06,0.4,16.57,0.18,0.25,1.02,-0.52,0.0,1,0,344
2292862,177.64536,38.67548,177.645264,38.675304,15.45,1.03,0.36,0.12,0.02,0.51,15.67,0.15,0.18,1.28,-0.55,-0.03,-1,0,300
2293423,177.85498,38.4173,177.854919,38.417145,16.1,1.22,-0.01,-0.06,-0.06,-0.09,16.35,0.18,0.21,0.95,-0.51,0.07,1,0,285
22935887,161.20021,23.3441,161.20015,23.344118,16.15,1.26,0.52,0.18,0.11,0.39,16.05,0.19,0.15,0.91,-0.56,-0.02,-1,0,334
22939763,161.38901,24.67947,161.388947,24.679474,16.5,1.22,0.15,0.05,0.02,-0.02,16.65,0.28,0.3,1.43,-0.28,-0.1,1,0,291
22944851,161.30319,23.88845,161.303131,23.888432,16.53,1.18,0.23,0.1,0.05,0.3,16.47,0.17,0.21,1.17,0.07,0.04,-1,0,323
22952653,160.65222,25.2496,160.652115,25.249659,16.27,1.16,0.04,-0.04,-0.05,0.46,16.46,0.15,0.2,0.92,-0.43,-0.03,1,0,273
22955409,160.92972,27.85075,160.929703,27.850605,15.38,1.25,0.49,0.14,0.02,0.36,15.34,0.19,0.22,1.89,-0.49,-0.02,-1,0,261
22959674,161.26797,27.29122,161.267975,27.291115,15.88,1.23,0.06,0.02,-0.03,0.1,15.96,0.14,0.18,1.18,0.08,-0.04,1,0,274
22962989,160.00081,27.57407,160.000793,27.573978,14.65,1.29,0.39,0.18,-0.02,0.37,14.75,0.11,0.04,1.04,0.07,0.1,-1,0,260
22969930,160.33882,29.10102,160.338791,29.100895,14.78,1.16,0.4,0.14,0.01,0.33,14.4,0.21,0.25,2.59,-0.42,0.04,-1,0,284
22973284,161.28572,4.96235,161.285721,4.962543,16.49,1.11,-0.06,0.01,-0.03,-0.01,16.82,0.27,0.31,1.41,-0.3,-0.1,-1,0,523
22980793,161.48215,3.68285,161.482147,3.682775,14.53,1.19,-0.13,-0.08,-0.13,0.25,15.37,0.27,0.33,2.56,-0.27,-0.25,-1,0,591
22998833,160.81923,31.91441,160.819153,31.914404,15.13,1.21,0.25,0.08,0.01,0.38,15.12,0.11,0.15,1.57,-0.19,0.0,-1,0,309
23002253,160.58292,32.65807,160.582855,32.657936,15.88,1.1,0.2,0.06,-0.02,0.5,15.75,0.27,0.36,2.09,-0.27,-0.14,1,0,280
23002449,160.96112,32.08588,160.961044,32.085838,16.3,1.17,0.18,0.05,-0.01,0.45,16.51,0.22,0.2,1.01,-0.15,-0.09,1,0,293
23008936,161.06308,33.492,161.063019,33.491917,15.72,1.08,0.06,-0.09,-0.08,0.04,15.96,0.18,0.12,0.83,-1.22,0.01,1,0,319
2301515,177.54015,39.46499,177.540039,39.464912,15.27,1.19,-0.01,-0.09,-0.04,0.18,15.85,0.25,0.29,1.83,-0.25,-0.13,-1,0,256
23032545,161.3755,40.67464,161.375534,40.67461,15.64,1.2,0.15,0.06,-0.0,0.07,15.57,0.29,0.35,2.26,-0.02,0.0,1,0,302
23033619,161.70477,39.33444,161.704742,39.3344,16.23,1.2,-0.06,-0.03,-0.08,0.17,16.47,0.18,0.23,0.99,-0.15,0.0,-1,0,285
23071423,161.08333,6.13796,161.083313,6.137961,16.59,1.19,0.22,0.08,0.01,-0.01,16.73,0.2,0.22,1.09,-0.18,0.0,1,0,562
23073893,161.78174,5.56375,161.781647,5.563684,15.61,1.21,0.23,0.08,-0.01,0.29,15.63,0.27,0.34,2.32,-0.27,0.0,-1,0,563
23076584,160.57164,5.95452,160.571564,5.954401,15.87,1.04,0.06,0.0,-0.05,0.18,15.89,0.13,0.17,1.28,-1.23,0.0,1,0,550
23086777,160.36403,51.4882,160.364014,51.48822,16.3,1.17,0.24,0.08,-0.01,0.17,16.1,0.23,0.22,1.54,-0.28,0.0,-1,0,258
23148132,160.81285,9.05761,160.81279,9.057546,16.26,1.14,0.13,0.03,-0.03,0.39,16.22,0.14,0.18,1.07,-0.17,-0.07,-1,0,567
23148883,160.16988,9.03591,160.169846,9.035831,16.15,1.12,0.15,0.05,-0.03,0.08,16.09,0.15,0.19,1.08,-0.11,0.07,-1,0,491
23157974,163.10692,2.46597,163.106918,2.465934,16.31,1.22,0.04,-0.04,-0.03,0.37,16.8,0.33,0.23,1.17,0.05,-0.07,1,0,444
23159004,162.04636,2.27533,162.046326,2.275163,15.98,1.19,-0.0,-0.02,-0.04,-0.02,16.02,0.29,0.17,1.32,0.45,-0.14,1,0,369
23163658,162.83139,2.62265,162.831284,2.62264,15.73,1.15,0.26,0.09,-0.01,0.31,15.9,0.17,0.21,1.56,-0.23,-0.01,-1,0,431
23164890,162.96758,2.22725,162.967545,2.227156,16.03,1.17,0.22,0.07,0.02,0.49,16.13,0.25,0.29,1.94,-0.26,-0.06,-1,0,458
23166739,162.8533,1.32056,162.853241,1.32053,15.65,1.15,0.16,0.06,-0.04,0.08,15.94,0.24,0.3,2.01,-0.26,-0.01,-1,0,444
23167118,163.31137,1.20053,163.311279,1.200379,14.64,1.2,0.07,-0.01,-0.03,0.23,14.77,0.13,0.16,2.01,-0.49,-0.03,-1,0,476
23182010,162.92599,0.2697,162.925949,0.269681,16.44,1.14,0.24,0.07,0.01,0.11,16.43,0.26,0.3,1.59,-0.19,-0.19,-1,0,485
23184808,162.63965,12.42217,162.639603,12.422191,15.97,1.25,-0.01,-0.06,-0.02,0.21,16.16,0.16,0.22,1.21,-0.17,-0.0,1,0,540
23184879,162.66145,12.45765,162.661392,12.457665,15.16,1.18,0.11,0.01,-0.02,0.22,15.23,0.17,0.22,2.02,-0.12,0.14,1,0,539
23193507,163.15439,12.38788,163.154373,12.388078,14.91,1.16,0.24,0.04,0.02,0.22,14.97,0.26,0.32,2.76,-0.32,-0.27,-1,0,559
23199703,163.55724,14.23487,163.557159,14.234764,16.77,1.16,0.26,0.1,0.03,0.56,16.59,0.21,0.26,1.18,-0.18,0.06,-1,0,546
23202141,163.97357,13.48228,163.973557,13.482366,14.76,1.14,0.4,0.12,-0.01,0.36,14.71,0.11,0.14,1.9,-0.49,-0.02,-1,0,538
23206575,162.56807,14.779,162.568069,14.779035,16.59,1.18,0.24,0.08,0.04,0.76,16.61,0.18,0.22,1.09,-0.21,-0.2,-1,0,549
23214839,162.89394,16.92939,162.893845,16.929361,15.52,1.2,0.02,-0.01,-0.03,0.25,15.46,0.16,0.23,1.84,-0.55,-0.01,-1,0,333
23223856,163.98859,17.66611,163.988571,17.666059,15.42,1.13,0.24,0.07,0.03,0.14,15.33,0.23,0.26,2.22,0.07,-0.04,-1,0,266
23230392,163.56912,18.23041,163.569138,18.230322,15.37,1.16,0.2,0.07,-0.01,0.16,15.51,0.28,0.33,2.4,-0.22,0.1,-1,0,294
23248355,163.08412,21.67754,163.084045,21.677401,16.23,1.15,0.23,0.08,-0.0,0.48,16.07,0.29,0.35,1.95,-0.27,-0.14,-1,0,334
23252474,162.22005,21.50375,162.219925,21.503582,16.85,1.15,0.2,0.05,-0.01,0.05,16.75,0.28,0.33,1.51,-0.04,0.18,-1,0,287
23262814,162.33168,24.19543,162.331619,24.195309,16.2,1.13,0.24,0.09,0.04,0.45,16.2,0.12,0.15,0.86,-0.19,0.04,-1,0,343
23266674,163.2068,24.21782,163.206787,24.217659,16.73,1.16,0.24,0.1,-0.0,0.37,16.69,0.21,0.25,1.16,-0.24,-0.08,-1,0,357
23270181,163.84741,23.84588,163.847351,23.845831,15.87,1.14,0.23,0.09,0.0,0.37,15.84,0.14,0.18,1.33,0.1,0.07,-1,0,302
23287933,162.07903,26.82311,162.07901,26.823097,15.52,1.18,0.03,-0.01,-0.05,0.05,15.54,0.26,0.22,1.73,-0.56,-0.03,1,0,302
23291585,163.75859,25.92666,163.758621,25.926676,14.98,1.16,0.27,0.07,-0.03,0.34,15.12,0.14,0.18,1.95,-0.2,-0.09,-1,0,278
23316035,162.87947,4.63439,162.878845,4.633769,15.78,1.12,0.19,0.06,0.0,0.22,15.33,0.21,0.26,2.18,-0.28,-0.21,-1,0,295
