LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
19775800,0.310856,0.310867,0.310862,1.000035,292,2.2,1.3,2.7,1.3,15.69,0.46,2583,15.1,2.7,27.7,3.8,15.6,0.6,3.2169,3.2846,14.77,0.0215,10.4309,3.2168,3.3225,9.463,0.0004,17.3314,0.14,4e-05,-,LZ3,5
19780691,0.637441,0.637437,0.637439,0.999994,238,2.4,1.0,2.4,1.0,16.26,0.75,2606,32.7,3.1,33.1,3.0,16.15,1.17,1.5688,1.5812,80.1925,0.0865,5.8485,1.5688,1.6128,22.6963,0.0017,16.6663,0.42,1e-05,-,LZ4,6
19902731,0.30625,0.306302,0.306276,1.00017,164,1.0,1.0,3.1,1.8,16.2,0.43,1469,12.1,2.6,116.6,13.4,16.19,0.57,3.2653,3.4029,7.2664,0.0481,10.0356,3.2647,3.3944,7.7125,0.0004,11.0228,0.14,0.00017,-,LZ3,6
19925031,0.361735,0.361726,0.36173,0.999975,189,1.2,0.9,1.2,0.9,16.01,0.46,627,13.5,3.4,15.0,3.5,16.08,0.53,2.7645,2.804,25.2781,0.0295,6.32,2.7645,2.7983,29.5858,0.0016,16.5435,0.07,2e-05,-,LZ4,5
20271572,0.536805,0.536792,0.536798,0.999976,181,3.1,1.4,3.3,1.4,15.63,0.67,2302,95.5,6.3,100.2,6.0,15.67,0.83,1.8629,1.9328,14.3102,0.0906,10.7238,1.8629,1.9328,14.3062,0.0058,16.0628,0.16,2e-05,-,LZ5,7
20441941,0.688814,0.688836,0.688825,1.000032,187,10.8,3.5,10.9,3.5,14.8,0.48,1573,57.3,5.6,59.8,5.8,14.81,0.45,1.4518,1.5194,14.7809,0.1338,3.2588,1.4517,1.4858,29.3858,0.0011,26.0261,0.03,3e-05,-,LZ5,6
20815762,0.728292,0.728292,0.728292,1.0,188,1.3,1.1,1.3,1.1,15.54,0.5,1109,5.4,2.1,5.4,2.1,15.63,0.69,1.3731,1.407,29.5029,0.1067,8.4043,1.3731,1.3786,181.3237,0.0011,15.247,0.19,0.0,-,LZ3,5
21011352,0.326046,0.326018,0.326032,0.999914,187,6.0,1.9,10.9,3.0,14.72,0.44,2690,11.2,2.5,60.3,7.2,14.67,0.43,3.0671,3.0992,31.0607,0.041,8.3175,3.0673,3.0983,32.3258,0.0006,32.3234,0.01,9e-05,-,LZ3,5
21080566,0.556566,0.556565,0.556566,0.999998,239,1.1,0.9,1.1,0.9,16.16,0.88,587,19.7,2.6,19.5,2.6,16.16,1.05,1.7967,1.866,14.4394,0.0627,5.1182,1.7967,1.8076,92.1659,0.0038,12.9102,0.17,0.0,-,LZ3,5
21215819,0.52438,0.524392,0.524386,1.000023,575,2.4,1.1,2.8,1.1,16.31,0.83,272,33.4,4.0,34.6,3.7,16.28,1.01,1.907,1.9549,20.8986,0.0512,15.1317,1.907,1.9549,20.8638,0.0097,15.1133,0.18,2e-05,-,LZ4,6
21488669,0.501644,0.501661,0.501653,1.000034,473,10.9,1.9,13.0,1.8,15.5,0.68,449,52.6,5.7,55.2,5.6,15.47,0.61,1.9934,2.0026,108.9918,0.0946,15.9093,1.9934,1.9981,211.1932,0.0313,17.1139,0.07,3e-05,-,LZ5,7
21556651,0.614826,0.614808,0.614817,0.999971,572,6.5,1.8,7.5,2.0,15.55,0.66,450,19.1,3.1,20.7,3.1,15.58,0.57,1.6265,1.663,27.3523,0.0608,14.3024,1.6265,1.6295,335.5705,0.013,8.5717,0.09,3e-05,-,LZ4,6
21619184,0.557343,0.55732,0.557332,0.999959,335,10.1,2.3,12.8,2.6,15.02,0.68,605,21.3,3.7,27.7,3.5,14.93,0.64,1.7942,1.8309,27.2926,0.0625,11.6209,1.7943,1.7972,341.2969,0.0059,13.1416,0.04,4e-05,-,LZ4,5
21640723,0.650454,0.650489,0.650472,1.000054,460,2.0,1.0,2.7,1.2,16.27,0.6,431,15.6,2.8,22.5,3.4,16.31,0.6,1.5374,1.6067,14.4248,0.0604,5.2817,1.5373,1.6065,14.4561,0.0155,6.2411,0.0,5e-05,-,LZ3,5
21688272,0.304803,0.30479,0.304796,0.999957,263,10.4,2.3,13.6,2.5,14.86,0.43,498,5.9,1.8,19.2,2.7,14.82,0.56,3.2808,3.3515,14.1493,0.0264,16.9207,3.281,3.2859,203.4588,0.005,17.0291,0.13,4e-05,-,LZ3,5
21806402,0.592081,0.592104,0.592092,1.000039,592,7.4,1.6,8.6,1.7,15.33,0.55,260,90.8,6.2,93.7,6.1,15.48,0.69,1.689,1.7228,29.5902,0.0515,13.4738,1.6889,1.7033,69.541,0.0038,6.9602,0.14,4e-05,-,LZ5,7
21869616,0.518196,0.518199,0.518198,1.000006,599,5.0,1.4,4.8,1.4,15.96,0.93,420,33.2,3.7,33.5,3.8,16.05,0.79,1.9298,1.9663,27.386,0.0864,15.2307,1.9298,1.9662,27.4123,0.033,17.7931,0.14,1e-05,-,LZ4,5
21874209,0.611295,0.611286,0.61129,0.999985,593,17.9,2.5,18.1,2.5,15.12,0.59,201,67.6,5.9,68.6,5.7,15.09,0.88,1.6359,1.6698,29.4985,0.0793,16.2134,1.6359,1.6887,18.952,0.0094,9.0572,0.29,1e-05,-,LZ5,7
21947560,0.480496,0.480497,0.480496,1.000002,322,12.7,2.5,12.7,2.5,14.89,0.76,540,34.4,4.2,34.7,4.1,14.75,0.88,2.0812,2.119,26.4306,0.0325,6.8567,2.0812,2.1204,25.4972,0.0125,22.8433,0.12,0.0,-,LZ4,5
21967825,0.540607,0.5406,0.540604,0.999987,263,6.7,1.8,6.7,1.8,15.58,0.63,363,60.2,4.7,61.6,4.5,15.51,0.97,1.8498,1.9263,13.0736,0.0904,8.2069,1.8498,1.9263,13.0745,0.0198,10.9606,0.34,1e-05,-,LZ4,6
22244513,0.604149,0.604077,0.604113,0.999881,330,9.2,2.5,16.4,3.0,15.54,0.45,265,130.0,8.1,172.4,9.0,15.48,0.78,1.6552,1.6951,25.0627,0.0391,8.1595,1.6554,1.6736,54.8697,0.005,8.6612,0.33,0.00012,-,LZ5,9
22542105,0.574095,0.57411,0.574102,1.000026,537,19.7,3.2,20.8,3.0,14.51,0.56,402,13.6,2.2,15.5,2.3,14.41,0.56,1.7419,1.7757,29.5334,0.0495,13.558,1.7418,1.7473,181.1594,0.013,13.5903,0.0,3e-05,-,LZ4,5
22714229,0.327808,0.32781,0.327809,1.000006,282,16.1,3.3,16.4,3.2,14.34,0.33,518,1.5,1.2,1.6,1.2,14.23,0.5,3.0506,3.1211,14.1733,0.0483,19.3933,3.0505,3.073,44.5236,0.0035,14.0379,0.17,1e-05,-,LZ4,6
22944851,0.582094,0.582078,0.582086,0.999973,323,2.2,1.0,2.3,1.1,16.11,0.56,349,15.1,2.6,18.6,2.9,16.17,0.83,1.7179,1.7545,27.3785,0.0634,9.1627,1.718,1.7209,341.2969,0.0126,22.3706,0.27,3e-05,-,LZ3,6
22959674,0.405333,0.405409,0.405371,1.000188,274,3.8,1.8,8.5,3.0,15.82,0.3,556,21.6,3.8,40.3,6.6,15.77,0.31,2.4671,2.5377,14.1733,0.0249,5.8527,2.4666,2.4802,73.9919,0.0043,9.9628,0.01,0.00019,-,LZ4,6
23166739,0.543359,0.543368,0.543364,1.000017,444,6.5,1.5,7.6,1.6,15.33,0.83,404,9.7,2.3,10.5,2.3,15.48,0.54,1.8404,1.8743,29.5072,0.0466,11.0271,1.8404,1.8459,181.4882,0.0269,13.7345,0.29,2e-05,-,LZ3,5
23184808,0.338821,0.338888,0.338854,1.000198,540,1.9,1.0,10.8,3.0,15.93,0.42,253,40.8,5.7,151.1,14.8,15.94,0.48,2.9514,2.9852,29.5639,0.0328,22.0331,2.9508,2.9782,36.5297,0.0019,8.7578,0.06,0.0002,-,LZ5,8
23193507,0.473158,0.473174,0.473166,1.000034,559,54.2,3.4,80.2,3.8,14.38,0.78,208,42.8,4.6,57.4,4.6,14.22,1.13,2.1135,2.1688,18.0717,0.0563,17.6388,2.1134,2.1687,18.0783,0.0154,18.2139,0.35,3e-05,-,LZ5,8
23252474,0.451658,0.451674,0.451666,1.000035,287,3.6,1.2,3.9,1.2,16.12,0.88,434,50.4,4.9,51.6,5.1,16.24,0.72,2.2141,2.2506,27.3486,0.0526,8.2493,2.214,2.2223,120.4094,0.0064,9.1614,0.16,4e-05,-,LZ4,7
23435891,0.482831,0.482808,0.48282,0.999952,233,46.6,4.0,61.1,4.5,14.59,0.82,1160,94.2,7.4,108.3,7.6,14.63,0.97,2.0711,2.1404,14.4259,0.0809,6.0609,2.0712,2.1055,29.1843,0.0024,18.0426,0.15,5e-05,-,LZ5,7
23624228,0.364453,0.364454,0.364454,1.000003,295,23.2,3.8,23.2,3.7,15.03,0.32,471,30.6,5.3,30.6,5.3,14.94,0.35,2.7438,2.8143,14.1854,0.0153,6.6595,2.7438,2.7655,46.1574,0.002,9.8599,0.03,0.0,-,LZ5,5
23653629,0.442052,0.442055,0.442054,1.000007,299,15.8,2.4,16.0,2.4,15.57,0.82,516,47.4,4.4,47.6,4.5,15.63,0.74,2.2622,2.333,14.1233,0.0305,4.7632,2.2622,2.2839,46.0405,0.0054,11.9482,0.08,1e-05,-,LZ4,5
23846316,0.588263,0.58826,0.588262,0.999995,388,3.0,1.2,3.0,1.2,15.92,0.74,202,30.5,2.8,30.6,2.9,15.87,1.12,1.6999,1.7339,29.4204,0.0374,8.3129,1.6999,1.7484,20.6271,0.0048,8.2031,0.38,1e-05,-,LZ3,5
23898397,0.563018,0.562989,0.563004,0.999948,323,7.0,1.6,9.9,1.8,15.53,0.69,439,38.5,3.5,41.3,4.2,15.57,0.6,1.7761,1.7793,318.4713,0.077,8.8803,1.7762,1.8094,30.1477,0.0062,10.1214,0.09,5e-05,-,LZ4,7
24020106,0.542397,0.542396,0.542396,0.999998,584,16.0,2.9,16.0,2.9,15.42,0.52,209,54.3,4.5,54.3,4.5,15.27,0.95,1.8437,1.8776,29.4855,0.0433,10.8738,1.8437,1.9232,12.5778,0.0101,9.6939,0.43,0.0,-,LZ4,6
24216004,0.382077,0.381912,0.381994,0.999568,546,6.5,1.9,9.2,3.1,16.03,0.3,287,110.6,7.8,188.7,18.5,16.1,0.44,2.6173,2.6511,29.5596,0.0173,12.3717,2.6184,2.6244,167.2241,0.0049,13.3851,0.14,0.00043,-,LZ5,8
