,LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp,Quality flag
46,10503746,0.573563,0.57357,0.573567,1.000012,264,0.0851732951320413,12.8,2.7,0.0812190910235284,13.7,2.7,14.87,0.83,103,0.0460606295242981,3.6,1.4,0.0496045449547137,3.9,1.5,15.03,0.54,1.7435,1.7576,70.9471,0.07,7.171,1.7435,1.7463,353.3569,0.0351,16.31,0.29,1e-05,,,,,1
47,10814742,0.462687,0.462683,0.462685,0.999991,257,0.088746133379768,26.8,2.5,0.090452262033402,27.2,2.7,14.99,0.9,76,0.0854152920190992,39.9,4.3,0.0839103399650213,40.7,4.2,15.13,0.62,2.1613,2.2185,17.4749,0.0711,6.126,2.1613,2.2405,12.6295,0.0262,7.831,0.28,1e-05,,,,,1
48,16494763,0.441664,0.441659,0.441662,0.999989,252,0.1020324371461935,27.1,3.8,0.1001297622949282,27.6,3.7,14.48,0.75,150,0.0990440438261926,17.8,3.2,0.1031929099605446,18.2,3.3,14.62,0.53,2.2642,2.3164,19.1333,0.0948,4.6787,2.2642,2.2782,71.1744,0.0056,9.0784,0.22,1e-05,,,,,1
49,21947560,0.480496,0.480497,0.480496,1.000002,322,0.0778603444944146,12.7,2.5,0.0778603444944146,12.7,2.5,14.89,0.76,60,0.0457259171211426,25.5,2.9,0.0478323793163095,25.0,3.0,14.83,0.77,2.0812,2.119,26.4306,0.0325,6.8567,1.0786,1.1179,25.4647,0.0583,5.8731,0.01,0.0,,,,,1
50,21948290,0.511127,0.511115,0.511121,0.999977,354,0.101148769220036,11.9,2.3,0.1119008178967836,14.5,2.2,15.39,0.76,57,0.063604733045984,12.5,2.5,0.0538162015523858,16.1,2.1,15.41,0.64,1.9565,1.9796,43.2339,0.0612,8.8706,0.6522,0.6631,91.617,0.0881,4.7054,0.12,2e-05,,,,,1
51,22244513,0.604149,0.604077,0.604113,0.999881,330,0.1851508737953517,9.2,2.5,0.2266084663182625,16.4,3.0,15.54,0.45,56,0.1066381182689034,16.2,3.6,0.1311055618622231,19.0,4.1,15.47,0.42,1.6552,1.6951,25.0627,0.0391,8.1595,1.6553,1.6587,302.5719,0.0394,5.3408,0.03,0.00012,,,,,1
52,22639551,0.661227,0.661226,0.661226,0.999998,298,0.0479571347987086,4.9,2.0,0.0491003498117515,5.0,2.0,14.24,0.56,59,0.0262570300632064,1.8,1.0,0.0262570300632064,1.8,1.0,14.23,0.46,1.5123,1.5315,52.233,0.0721,9.345,1.5123,1.5341,45.9453,0.0535,8.2258,0.1,0.0,,,,,1
53,22828215,0.574536,0.574535,0.574536,0.999998,585,0.0415917265429262,12.5,1.5,0.0415917265429262,12.5,1.5,14.69,0.72,45,0.0316466845160696,5.9,1.4,0.0307197417490254,5.8,1.4,14.65,0.6,1.7405,1.7744,29.5377,0.0607,14.6199,1.7405,1.7454,207.0393,0.0586,7.0326,0.12,0.0,,,,,1
54,23223856,0.586642,0.586647,0.586644,1.000009,266,0.0994184551914047,22.7,3.4,0.0961828069675881,22.3,3.4,14.87,0.64,59,0.0682330612807421,39.3,3.1,0.0672720759554367,41.1,3.0,14.92,0.55,1.7046,1.7113,149.5886,0.0452,6.9438,1.7044,1.7416,26.8745,0.0449,6.7494,0.09,1e-05,,,,,1
55,23604060,0.469075,0.469102,0.469088,1.000058,344,0.1175224803922424,22.4,3.6,0.1144192149093153,26.7,3.7,14.77,0.78,59,0.0944032026501384,61.0,6.4,0.0822587529974707,77.8,5.4,14.77,0.72,2.1319,2.2313,10.0528,0.0447,5.6299,2.1317,2.1974,15.2207,0.058,8.6861,0.06,6e-05,,,,,1
56,24107664,0.651113,0.651118,0.651116,1.000008,520,0.1199209028977431,0.6,0.7,0.1195274455437619,0.6,0.7,16.6,0.49,45,0.0325565038702418,0.5,0.7,0.0348995634086803,0.6,0.7,16.59,0.4,1.5358,1.5697,29.5247,0.0477,12.3178,1.5358,1.5996,15.6703,0.0717,3.6404,0.09,1e-05,,,,,1
57,1111785,0.147192,0.651565,0.399378,4.426633,518,0.1038054534380138,12.2,3.0,1.2460128970580158,107.6,11.7,14.56,0.39,62,0.0284075889674286,1.3,1.0,0.2901557585433661,74.0,10.7,15.0,0.43,6.7938,6.8277,29.5334,0.0162,34.2582,1.5348,1.5836,20.4939,0.0872,4.7024,0.04,1.2629,,,,,1
58,3351006,0.193277,0.651565,0.422421,3.371146,294,0.089204849740831,9.9,3.5,1.0274848072460652,180.7,15.6,14.56,0.49,62,0.0284075889674286,1.3,1.0,0.7169305934389957,121.6,14.1,15.0,0.43,5.1739,5.2077,29.5639,0.0239,23.0595,1.5348,1.5836,20.4939,0.0872,4.7024,0.06,1.08491,,,,,1
59,21379220,0.983693,0.651565,0.817629,0.662366,272,0.0573296350563935,4.6,1.7,0.2797961269860913,50.9,4.7,14.63,0.47,62,0.0284075889674286,1.3,1.0,0.3601838875513093,91.7,10.4,15.0,0.43,1.0166,1.0333,59.9161,0.0849,11.4711,1.5348,1.5836,20.4939,0.0872,4.7024,0.04,0.40621,,,,,1
