LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3196780,0.504148,0.504199,0.504174,1.000101,475,9.3,2.2,30.8,2.9,15.15,0.81,286,21.5,3.2,102.9,6.9,15.08,0.85,1.9835,2.0029,51.7331,0.0734,18.1467,1.9833,1.9889,181.653,0.023,11.623,0.04,0.0001,-,LZ4,6
3219035,0.326746,0.326509,0.326627,0.999275,376,23.9,3.9,51.5,7.6,14.83,0.32,168,11.5,2.6,39.5,5.0,14.93,0.23,3.0605,3.1287,14.6692,0.0327,10.1934,3.0627,3.0661,294.1176,0.02,12.0769,0.09,0.00073,-,LZ4,7
3463199,0.334718,0.33471,0.334714,0.999976,297,0.6,0.7,0.7,0.7,16.61,0.51,579,11.3,2.3,13.4,2.5,16.51,0.67,2.9876,3.0584,14.1153,0.0382,10.1683,2.9877,2.9952,133.2445,0.0044,23.6348,0.16,2e-05,-,LZ3,5
3491287,0.490986,0.490995,0.49099,1.000018,483,4.1,1.4,4.9,1.5,15.25,0.94,504,37.9,3.8,44.4,3.9,15.28,0.8,2.0367,2.0537,58.8408,0.058,11.9199,2.0367,2.0537,58.8755,0.0099,18.3211,0.14,2e-05,-,LZ4,5
3589854,0.612893,0.612953,0.612923,1.000098,468,29.1,3.9,47.9,5.2,14.57,0.49,545,45.0,5.8,59.9,6.3,14.46,0.5,1.6316,1.6656,29.4031,0.0565,15.3618,1.6314,1.6369,184.6722,0.0169,17.6992,0.01,0.0001,-,LZ5,7
3591037,0.558643,0.558609,0.558626,0.999939,449,5.4,1.3,12.5,1.7,15.69,0.76,544,30.1,3.5,50.9,4.1,15.72,0.65,1.7901,1.7929,352.1127,0.0622,13.9545,1.7902,1.7956,182.3154,0.012,20.9073,0.11,6e-05,-,LZ4,7
3941776,0.532222,0.532209,0.532216,0.999976,271,18.8,2.8,21.2,2.9,14.88,0.77,549,89.0,6.0,90.4,6.3,14.92,0.61,1.8789,1.9253,21.5564,0.065,9.3459,1.879,1.8844,184.1621,0.0104,16.0939,0.16,2e-05,-,LZ5,7
3960704,0.645879,0.645834,0.645856,0.99993,297,4.6,1.6,8.5,1.8,15.48,0.72,671,20.6,2.6,30.9,3.3,15.62,0.7,1.5483,1.585,27.2442,0.068,8.2365,1.5484,1.5539,182.9826,0.0197,20.0859,0.02,7e-05,-,LZ3,5
4101289,0.379225,0.37925,0.379238,1.000066,256,2.0,1.2,3.1,1.4,15.72,0.39,657,9.0,2.7,11.8,3.1,15.66,0.37,2.637,2.7048,14.7308,0.0266,8.732,2.6368,2.6416,209.205,0.002,9.3479,0.02,7e-05,-,LZ3,5
4234952,0.566338,0.566348,0.566343,1.000018,461,1.5,0.9,1.6,0.9,16.34,0.59,179,27.3,3.6,28.9,4.0,16.37,0.77,1.7657,1.7995,29.5727,0.0771,12.5348,1.7657,1.7712,180.1802,0.012,13.6865,0.18,2e-05,-,LZ4,6
