LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
2669011,0.591153,0.591152,0.5912,1.0,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6916,1.7256,29.4464,0.1033,14.9008,1.6916,1.7015,101.1122,0.0942,6.511,0.0,0.0,Z,NaN,NaN
2686860,0.563431,0.563429,0.5634,1.0,98,0.0797381025394157,5.6,1.7,0.1908705378571228,20.6,3.0,15.09,0.81,372,0.0299004253788997,3.6,1.6,0.0579752864401329,32.8,2.7,15.17,0.65,1.7748,1.8021,36.7242,0.1283,6.5041,1.7748,1.7788,251.2563,0.0254,9.816,0.16,0.0,L,NaN,NaN
2742544,0.60703,0.60704,0.607,1.0,496,0.0750059175045334,2.1,1.2,0.121999132897809,7.8,1.6,15.57,0.59,43,0.0259704414567819,2.1,1.1,0.0477491012690566,4.9,1.7,15.47,0.55,1.6474,1.6812,29.577,0.0711,13.8205,1.0003,1.0034,321.5434,0.5098,15.7549,0.04,2e-05,Z,NaN,NaN
2812086,0.646015,0.646,0.646,1.0,296,0.0823589402902304,19.9,3.0,0.0983471808983798,29.4,3.2,14.59,0.61,136,0.0639639877021079,11.7,3.2,0.0639639877021079,11.7,3.2,14.46,0.58,1.548,1.5781,33.173,0.051,7.6062,1.548,1.5519,258.7322,0.0694,10.848,0.03,2e-05,Z,NaN,NaN
2889542,0.570913,0.570916,0.5709,1.0,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7516,1.7855,29.4855,0.0521,11.8677,0.9995,1.0027,311.5265,1.4346,48.0804,0.0,1e-05,Z,NaN,NaN
2892940,0.539855,0.539898,0.5399,1.0001,462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8523,1.8862,29.529,0.0783,12.9993,1.0035,1.0077,243.6054,0.5284,36.3813,0.0,8e-05,Z,NaN,NaN
3048546,0.656287,0.656294,0.6563,1.0,291,0.053392455175473,1.6,1.0,0.0767990516267253,5.8,1.3,15.69,0.88,132,0.0225908348889351,1.1,1.0,0.0218243218989851,1.1,0.9,15.79,0.71,1.5237,1.5407,59.0667,0.0747,7.6335,1.5237,1.5278,244.2002,0.0278,5.609,0.17,1e-05,L,NaN,NaN
3117883,0.551379,0.551387,0.5514,1.0,271,0.0797396867483315,1.0,0.9,0.1287809606966292,2.4,1.1,16.19,0.84,232,0.025712229813112,1.7,1.1,0.0309922505202521,4.8,1.3,16.27,0.69,1.8136,1.8345,47.9042,0.0502,6.8083,1.8136,1.8167,323.6246,0.0809,12.0388,0.15,1e-05,Z,NaN,NaN
3132943,0.671746,0.671749,0.6717,1.0,308,0.089782106705305,1.2,0.8,0.1688561602241965,4.6,1.6,15.79,0.42,157,0.0454072562593671,2.6,1.0,0.0851460399407823,7.3,1.7,15.73,0.35,1.4887,1.5168,35.4736,0.0459,5.8783,1.4887,1.4936,201.6129,0.0579,9.1489,0.07,0.0,Z,NaN,NaN
3139572,0.211316,0.366613,0.289,1.7349,275,0.2321890432985547,2.0,1.2,1.0130544975760316,5.0,2.4,16.49,0.39,145,0.1905393165912361,17.9,3.0,0.7905835908908577,39.2,7.8,16.58,0.27,4.7323,4.8029,14.1543,0.0065,12.1472,2.7292,2.7329,268.4564,0.0236,11.2099,0.12,0.53736,NaN,Z,7
