index,Period,N
2404,0.3101616131816589,512
2408,0.2895512682854876,509
2495,0.5864500606899146,396
2511,0.5908177813263151,314
2527,0.0,0
2531,0.534492432777091,586
2586,0.49981796261356554,501
2623,0.06935708127542492,14
2626,0.4949887106611111,1604
2653,0.5351656299176455,838
2694,0.3445717791490376,1244
2755,0.45499345441682215,899
2773,0.5663894041726125,794
2792,0.635607698258527,740
2823,0.600451907214834,833
2842,0.7601323216314507,1261
2860,0.31603382162828747,275
2861,0.6950114339109363,966
2872,0.667390243120671,77
2891,0.0,0
2969,0.0,0
2974,0.309759555955056,567
2983,0.1968879190701466,24
3003,0.2672145865487939,505
3014,0.5653996520539649,535
3028,0.6492500483550903,499
3070,0.5683338020980127,142
3332,0.6085726063958241,541
3386,0.6536256000769415,3336
3394,0.5349376530039782,3364
3404,0.6864689360146919,3358
3468,0.47765365698553025,858
3477,0.6174497187033922,573
3532,0.29378848847686756,875
3548,0.5915185079450673,874
3596,0.5912445760762504,585
3606,0.35941485663518513,586
3611,0.6063170949315658,527
3658,0.5647377933383799,742
3668,0.2722655964876425,882
3732,0.3158570812742389,985
3767,0.29257277503254986,1668
3773,0.6295923126624576,867
3792,0.49372949911316943,1303
3828,0.2874936082026716,1627
3829,0.6111955375716852,1292
3834,0.5977826534006692,74
3836,0.6426598611005816,2856
3844,0.5752220398307962,1652
3845,0.46587672331443203,1465
3847,0.45583978575448375,1370
3870,0.35702301150391297,13
3873,0.5798033331871559,512
3879,0.5635445723630413,561
3892,0.7035069247205902,403
3924,0.6554105613424717,545
3950,0.5862272634129456,845
3960,0.5623725723428019,2557
3969,0.5175352447148373,1863
3971,0.6260195639638427,1700
3977,0.8085836072837612,1591
3986,0.3090764306524577,1498
4013,0.5659808720148893,1117
4037,0.7535041372873803,1588
4063,0.5695723591301962,1345
4098,0.5514210248022042,583
4106,0.555337530931988,565
4130,0.6324691009253254,15
4200,0.5214467851530891,87
4315,0.5029052032036604,3418
4335,0.48884349499566515,241
4366,0.6879141306205112,1170
4371,0.0,0
4394,0.5595867150229529,886
4408,0.0,0
4457,0.6305050043273955,527
4506,0.5892908346235267,904
4517,0.594096315261364,923
4527,0.5352100790598903,945
4536,0.3650575321741435,18
4540,0.5922851035282161,929
4569,0.5537040369919539,1018
4620,0.5437596745677712,1039
4654,0.3300315527596394,1006
4672,0.6200064186031045,1052
4673,0.6406214776216805,2527
4676,0.5441404253245802,948
4728,0.35562453379320785,1595
4746,0.6324859380458775,1626
4747,0.3383702259578045,67
4758,0.6919287240007428,586
4759,0.2815727259687398,592
4762,0.5339331726473485,11
4764,0.0,0
4765,0.5382591245706707,503
4767,0.5465115757655687,522
4770,0.37972557029004705,1610
4772,0.6796438000802596,1359
4773,0.668852002721709,64
4774,0.6594823251796522,1406
4777,0.33516931802889366,1547
4780,0.571541813061198,3141
4782,0.5965216267744381,207
4784,0.5267478535517586,1544
4790,0.4728573744548565,37
4793,0.6071190278946849,563
4795,0.4698600006059838,581
4796,0.6143548589349964,586
4799,0.5598663361352115,521
4800,0.5911721407106866,522
4801,0.5565384230070572,2000
4803,0.33748879106849394,2048
4804,0.6062187155924613,2074
4805,0.44050054877790057,2073
4806,0.5944186502655764,2069
4807,0.5634174855144561,3840
4810,0.5175318603684721,1898
4814,0.6107856147306918,585
4818,0.4676060078977058,883
4819,0.6081210872542305,865
4820,0.5567801780756485,876
4821,0.6296718570888062,176
4822,0.6070203552859047,583
4825,0.0,0
4828,0.5705774658120965,894
4831,0.36557362473568417,22
4832,0.5828452646957717,898
4835,0.5392334005551218,908
4839,0.6079607874955173,1008
4840,0.6459813450203066,1004
4841,0.6437614537986257,901
4843,0.7384255088886243,981
4847,0.5910071641157266,1088
4849,0.611950424188732,1008
4852,0.6742834943299136,1563
4854,0.5270865424396031,1636
4855,0.6015352379520976,1524
4859,0.5218545474861886,1291
4861,0.5921192048296251,1514
4862,0.5086851793531536,76
4864,0.4447792636044248,1371
4865,0.626862148928295,1678
4866,0.3319444114534148,1752
4869,0.6188494906055662,553
4871,0.33060440513038747,503
4873,0.3079001730040228,547
4874,0.570903588422568,542
4875,0.5398983158092822,539
4876,0.699278708950468,588
4877,0.3750622335769362,1552
4878,0.6284269254174396,1713
4879,0.37912961626491437,86
4880,0.2892498673125592,1691
4881,0.46039086133695784,1571
4886,0.3287267301360435,1608
4887,0.1977410678903292,27
4888,0.5346159942931579,62
4892,1.1921433971552013,32
4896,0.48626017107712405,116
4897,0.6494309128042635,533
4900,0.5987606696889113,2125
4901,0.5501167628116442,1888
4902,0.6242398471224819,2311
4905,0.5962626480257908,1914
4910,0.39811390723851453,806
4911,0.6297243912544324,1513
4913,0.5580129140113095,875
4914,0.5829181317393342,920
4916,0.6563136722736389,912
4920,0.6354462594636959,1523
4922,0.6233851108020246,545
4923,0.0,0
4924,0.3374977945567398,905
4925,0.577896868125058,909
4927,0.6057902889206482,906
4929,0.6174869446527516,1110
4930,0.5521321014239603,1807
4931,0.3404481657649936,44
4932,0.37529872731663055,1722
4936,0.5513798178270507,2033
4937,0.6891480278609166,869
4941,0.6717725871843818,1183
4943,0.36662171134831206,1033
4945,0.3045810768376526,918
4946,0.4623190569891669,1035
4947,0.5467200942099217,1561
4950,0.5872613274115662,1490
4952,0.5938195567148447,1578
4953,0.6526704796422916,1600
4954,0.5706938985924979,1555
4957,0.5271665830904596,3039
4959,0.30242554835148777,1587
4960,0.5896039561983731,1592
4962,0.6506851766163083,876
4963,0.3496711778194434,1537
4965,0.6887658259408358,954
4967,0.2680145470539923,548
4968,0.5041864289664149,549
4970,0.5072409873335405,1358
4971,0.4683365847978354,85
4972,0.6939217120721122,1626
4973,0.6530097866732095,1541
4974,0.66717422709188,138
4975,0.6237976294659299,1633
4977,0.629028260019583,1545
4978,0.5596422234672112,1630
4979,0.5580998165723013,1010
4980,0.30290039291224796,1544
4982,0.3457171613495229,920
4984,0.0,0
4985,0.5554708541436467,543
