LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
9614952,0.997458,0.529386,0.763422,0.530735,278,0.005631974326022755,19.0,3.9,0.47861646758436033,15.7,3.4,-33.92,50.66,82,0.02208379311869524,1.1,0.9,0.6181105483358406,110.0,11.3,16.15,0.78,1.002548067198794,1.0464680671990818,22.768670309504753,0.11431654189040474,2.6048690665051426,1.8890012327139762,1.945916232714349,17.570060616594024,0.03181944659079505,8.525585069880233
9616228,0.674566,0.674569,0.674568,1.000004,285,0.036963724671833134,0.8,0.8,0.035938757801193974,0.8,0.8,15.42,0.74,196,0.02498917472758149,2.2,1.2,0.025554429843686312,2.3,1.2,15.46,0.57,1.482434653438265,1.5231096534385316,24.58512599860968,0.09183274465995506,9.448435959553748,1.4824272902293256,1.5227572902295898,24.795437639311896,0.00983904797097267,9.920436101442426
9617178,0.73084,0.730851,0.730846,1.000015,277,0.11821651982877956,0.6,0.7,0.11046007969613622,0.6,0.7,16.45,0.47,167,0.03967723608700652,1.5,0.9,0.03855991386186752,1.6,0.9,16.43,0.36,1.3682884648505242,1.4212434648508712,18.883958077489353,0.043874020129783024,8.434028822602244,1.3682673899330564,1.3731723899330885,203.87359836767558,0.018880835202778255,9.268520352853185
9622119,0.639068,1.341473,0.99027,2.099108,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5647796419171254,1.6325946419175696,14.746000147363397,0.03073217735322939,3.374690658731596,0.0,0.0,0.0,0.0,0.0
9630269,0.658189,1.316362,0.987276,1.999976,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5193204339415254,1.5524404339417424,30.193236714778042,0.09777358409096197,4.466745334199408,0.0,0.0,0.0,0.0,0.0
9669369,0.539876,0.539872,0.539874,0.999993,449,0.06721646750819002,4.3,1.6,0.06792082006440209,4.6,1.7,15.06,0.66,71,0.024282394415791737,1.8,1.1,0.025669337738153396,1.9,1.2,15.07,0.59,1.8522760826773905,1.9274960826778833,13.294336612515938,0.09479699895174998,10.514365505752524,1.8522934421731005,1.9289134421736025,13.05142260497845,0.04671517805125517,8.604022232522665
9671771,0.853015,0.85302,0.853018,1.000006,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1723124920951973,1.206142492095419,29.559562518281076,0.12159248084215991,9.206398731595367,0.0,0.0,0.0,0.0,0.0
9681652,0.631202,0.6312,0.631201,0.999997,443,0.12093642345447227,0.8,0.8,0.12231011675713488,0.8,0.8,16.27,0.42,71,0.06396544676064823,1.7,1.3,0.06603429877689068,1.7,1.3,16.2,0.32,1.584278745030894,1.6181537450311159,29.520295202758636,0.044659764371058466,11.188004826489456,1.5842854452653534,1.6386904452657098,18.38066354183345,0.03739008587362348,9.645347363891204
9763096,0.600682,0.600683,0.600682,1.000002,291,0.06811043497850201,4.4,1.5,0.06811043497850201,4.4,1.5,14.87,0.49,74,0.03426686115197735,1.4,1.2,0.0332803671642167,1.4,1.2,14.85,0.41,1.6647750494609763,1.6987250494611987,29.455081001279787,0.0781313424028979,7.915799592582194,1.6647711844174118,1.6861411844175518,46.794571829361196,0.025635715047560535,7.60444826743049
9814275,0.63964,0.639642,0.639641,1.000003,280,0.07382923239052425,9.9,1.6,0.07411072962172682,9.9,1.6,14.89,0.38,105,0.052907479333026454,1.7,1.2,0.054419616169523004,1.7,1.2,14.8,0.32,1.563378322214161,1.5999433222144006,27.348557363419904,0.04914245739897903,6.346383754649507,1.5633820527668274,1.6047520527670984,24.172105390221144,0.0117547185511918,8.478523062675324
9818617,0.626065,0.626066,0.626065,1.000002,267,0.06762125951477366,0.9,0.8,0.06762125951477366,0.9,0.8,16.12,0.76,62,0.02650254874280078,2.0,1.0,0.024632148758268586,1.9,0.9,16.12,0.62,1.5972790653638498,1.6047640653638988,133.60053440126237,0.07982148679829723,6.369240346199335,1.5972760329166886,1.6001110329167072,352.7336860647086,0.05975429787875501,10.441202287275113
9822987,0.734302,0.0,0.367151,0.0,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361838067583127,1.3907980675833167,34.53038674010528,0.07848407117491225,5.743616851061718,0.0,0.0,0.0,0.0,0.0
9838906,0.651411,0.0,0.325706,0.0,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.535128058936139,1.5999380589365635,15.429717636066174,0.15112596133639447,5.701671052837507,0.0,0.0,0.0,0.0,0.0
9840932,0.589363,0.589353,0.589358,0.999983,273,0.05926713899615574,1.1,0.9,0.05426201755726301,1.0,0.9,15.75,0.68,71,0.02879798117916349,1.5,1.1,0.029061063498455348,1.2,1.1,15.78,0.5,1.6967461100037835,1.730556110004005,29.577048210394818,0.0915820718319207,9.404722900968984,1.6967697608845889,1.7141397608847027,57.57052389139026,0.027862472409904963,8.559350465132821
9843137,0.447085,0.0,0.223542,0.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2367116398543203,2.2395066398542145,357.78175314413517,0.08980309755504319,9.42807004157576,0.0,0.0,0.0,0.0,0.0
9848891,0.289062,0.0,0.144531,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4594638077529574,3.493358807751674,29.502876531578632,0.0552384284873268,26.57003044327712,0.0,0.0,0.0,0.0,0.0
9852554,0.651339,0.651367,0.651353,1.000043,339,0.13522350835637523,1.1,1.0,0.15758130626641653,1.6,1.1,16.42,0.67,69,0.10235234486115107,11.0,2.8,0.08402561750469602,9.7,2.2,16.43,0.52,1.535299464962197,1.5570094649623392,46.06172270812753,0.05436154227222049,7.461846995875527,1.5352689380033686,1.5403389380034018,197.23865877582816,0.03362730333112129,6.462576603854505
9854852,0.668734,0.668729,0.668732,0.999993,294,0.02859018014859602,2.3,0.8,0.032770918957598656,2.5,0.9,15.04,0.65,65,0.030793525596343657,2.2,1.3,0.029043752222110343,1.9,1.2,15.09,0.55,1.4953623781231336,1.5011973781231718,171.37960582578387,0.07329710480698176,11.471212664175992,1.4953607168405205,1.5269207168407273,31.685678073303194,0.03255268976593715,7.260227593546555
9855123,0.527518,0.527515,0.527516,0.999994,345,0.060893942639584454,1.9,1.2,0.06103081460100479,1.7,1.2,15.7,1.14,66,0.03507137412220177,5.2,2.0,0.03989770991171054,4.8,2.1,15.82,0.86,1.8956710315529721,1.9322210315532116,27.359781121571785,0.08373863276494924,11.32822978348487,1.8956772494022902,1.8984722494023085,357.78175312824646,0.06651900541600105,11.724205322527913
9856232,0.626142,0.626129,0.626136,0.999979,335,0.11294146980319876,24.3,3.4,0.11073078323086394,25.0,3.3,14.98,0.83,68,0.07974406112248715,37.3,3.6,0.09549009066538186,36.5,4.4,15.04,0.56,1.5970822118289763,1.633687211829216,27.318672312346642,0.06565438249876894,5.060398096164164,1.5970889778974733,1.6164189778976,51.73305742335483,0.033514633791227384,8.13574979516925
9918809,0.47946,0.479509,0.479484,1.000102,265,0.16626275947482017,7.8,1.9,0.1808201939841665,8.3,2.2,15.81,0.6,126,0.28068767705524234,95.8,10.3,0.27513907309036767,103.2,8.6,15.86,0.5,2.0856797822756,2.1555547822760577,14.311270125129903,0.043844272456554326,5.8300565604609345,2.0848289775286277,2.0876639775286465,352.73368606468097,0.018416420381715145,14.483634226424833
9920704,0.63114,0.631141,0.63114,1.000002,263,0.17941008108589707,2.2,1.3,0.17941008108589707,2.2,1.3,16.07,0.38,331,0.07054148972291248,2.4,1.3,0.07193864759955274,2.4,1.3,16.02,0.26,1.5844338372130073,1.638868837213364,18.37053366388259,0.06771578974902025,8.219889312505225,1.584429734090572,1.589314734090604,204.7082906844317,0.00815259276868355,12.580324390494367
9961135,0.590896,0.590891,0.590894,0.999992,296,0.08667291221133472,2.6,1.1,0.09089260004291058,2.7,1.1,15.58,0.57,71,0.06857116443036726,4.7,1.8,0.062092461861901864,4.7,1.7,15.56,0.45,1.6923444675881392,1.709879467588254,57.028799543396,0.096085129377412,7.385478983403761,1.6923605330162121,1.6977305330162473,186.21973929114503,0.031766645302190595,7.7099944151442985
