LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score
7735376,0.565166,0.565167,0.5652,1.0,283,0.0399901623141039,1.1,0.9,0.1459551670272265,16.6,2.2,15.44,0.81,37,0.0219820458531587,1.2,1.2,0.0302278108747145,7.9,1.3,15.45,0.7,1.7694,1.8033,29.4681,0.0418,7.3456,1.7694,1.8181,20.5318,0.1061,10.2186,0.11,0.0,1,NaN,NaN,NaN
7736895,0.286974,0.286978,0.287,1.0,354,0.1094293469567544,1.8,1.2,0.9546010070719186,19.0,4.8,15.36,0.32,37,0.029673312703855,0.6,0.7,0.0586814702442885,2.3,1.3,15.39,0.27,3.4846,3.5185,29.5465,0.0349,21.6028,1.1615,1.1916,33.2723,0.0953,5.9174,0.05,1e-05,2,NaN,NaN,NaN
7779915,0.350405,0.350401,0.3504,1.0,253,0.2017737072973826,1.5,1.1,0.2344686224248555,1.5,1.2,16.34,0.33,103,0.1144567797958852,9.6,2.0,0.1064979852130053,9.6,1.9,16.3,0.27,2.8538,2.8566,357.7818,0.0291,12.559,2.8539,2.9283,13.4237,0.0143,11.2652,0.06,1e-05,1,NaN,NaN,NaN
7787834,0.465971,0.465971,0.466,1.0,281,0.0329050868324764,1.8,1.1,0.1175821944926709,61.8,2.5,15.01,1.12,103,0.0270603612021591,5.9,1.9,0.1059184912943722,72.7,6.0,15.12,0.91,2.1461,2.2177,13.9538,0.0935,9.3412,2.146,2.1489,354.6099,0.0353,13.3409,0.21,0.0,1,NaN,NaN,NaN
7811366,0.489523,0.489521,0.4895,1.0,253,0.0836032598537451,11.4,2.0,0.1726028984996152,28.5,3.5,15.18,0.81,405,0.0570322099750435,18.5,2.6,0.0829314129522525,31.4,3.6,15.26,0.63,2.0428,2.1151,13.8293,0.0483,5.9174,2.0428,2.0628,49.9625,0.0209,20.6539,0.18,0.0,1,NaN,NaN,NaN
7819052,0.99994,0.542454,0.7712,0.5425,294,5.228945253436684e-05,75.1,8.5,0.7254358715512755,82.3,7.8,15.05,4760.09,212,0.0793738538944583,15.4,3.1,0.9165658621195344,156.7,14.2,14.98,0.51,1.0001,1.0029,350.8772,0.1077,5.9179,1.8435,1.9231,12.5604,0.02,7.8661,4759.58,0.59321,2,NaN,NaN,NaN
7820016,0.603784,0.603789,0.6038,1.0,269,0.074500850515069,0.6,0.7,0.079400423010098,0.7,0.7,16.18,0.58,178,0.0334427922910397,1.6,0.9,0.037663803597999,2.8,1.0,16.17,0.43,1.6562,1.7241,14.7406,0.0777,5.2994,1.6562,1.7193,15.8441,0.0093,5.4703,0.15,1e-05,1,NaN,NaN,NaN
7827663,0.390832,0.390832,0.3908,1.0,385,0.2157563737686413,17.7,3.4,0.3624320935053258,33.4,4.2,14.93,0.32,70,0.1457006044537759,11.2,2.7,0.2614788575356631,20.3,4.3,14.88,0.3,2.5586,2.5925,29.5334,0.0264,14.7403,1.2793,1.3393,16.6722,0.0333,3.4099,0.02,0.0,1,NaN,NaN,NaN
7836810,0.547266,0.547317,0.5473,1.0001,362,0.3050081314254919,11.9,3.5,0.3402274693152765,15.5,3.9,15.48,0.46,66,0.1182458382432418,11.2,2.3,0.1137836089515939,12.2,2.7,15.59,0.36,1.8273,1.8611,29.5247,0.0352,8.609,1.001,1.014,76.8344,0.0482,8.8198,0.1,9e-05,1,NaN,NaN,NaN
7844345,0.558232,0.558232,0.5582,1.0,437,0.0645578830152318,0.7,0.8,0.1435477051865355,4.1,1.2,16.17,0.8,45,0.0265234756143201,1.3,1.1,0.040225859146375,8.8,1.6,16.21,0.61,1.7914,1.8252,29.5727,0.0863,16.625,1.7913,1.8335,23.6742,0.06,6.1907,0.19,0.0,1,NaN,NaN,NaN
7846640,0.551495,0.551518,0.5515,1.0,447,0.1560058293484874,5.3,1.5,0.1510641223909765,5.4,1.4,16.05,0.76,45,0.061007014381443,29.8,3.2,0.073355413154512,38.1,3.8,16.18,0.75,1.8133,1.8942,12.3472,0.0616,8.0539,1.813,1.8594,21.5633,0.0659,7.8034,0.01,4e-05,1,NaN,NaN,NaN
7852994,0.643846,0.643845,0.6438,1.0,448,0.0867712381644369,0.7,0.7,0.1781798016449005,2.7,1.2,16.18,0.53,45,0.0373462051755273,1.7,1.2,0.045384498730203,2.5,1.6,16.16,0.42,1.5532,1.587,29.5247,0.0945,12.7247,1.5532,1.5998,21.4569,0.0504,5.2816,0.11,0.0,1,NaN,NaN,NaN
