LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,LC_type
21865663,0.352825,0.705662,0.5292,2.0,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8342701778180235,2.8681851778167395,29.485478403003324,0.0253410272008996,24.10714805089337,0.0,0.0,0.0,0.0,0.0,2
21869616,0.518196,0.518199,0.5182,1.0,599,0.1097843206526721,5.0,1.4,0.1066230370359699,4.9,1.4,15.96,0.93,44,0.0645954218114104,24.3,3.1,0.062990279281777,23.7,3.1,16.04,0.73,1.9297713591071952,1.9662863591074344,27.3860057508818,0.0863870712398452,15.230666131385592,0.9271753029798612,0.9650603029801094,26.395671109765047,0.1829922975111426,5.110264944569951,1
21874209,0.611295,0.611286,0.6113,1.0,593,0.1208120227730747,17.9,2.5,0.1117883114105589,18.3,2.4,15.12,0.59,43,0.0518712372167822,9.0,2.9,0.0472061227037908,10.6,2.8,14.96,0.69,1.6358723008956182,1.6697723008958405,29.49852507355306,0.0792877857503252,16.213447177855905,0.8179725784969115,0.8364275784970324,54.185857490839815,0.1560649953599776,7.736035568278021,1
21879209,0.502716,0.502716,0.5027,1.0,555,0.0530959933600915,0.6,0.8,0.0931542197242277,3.9,1.1,16.1,1.01,44,0.0216814065692955,1.7,0.9,0.0214571262045765,1.1,1.0,16.15,0.81,1.9891963798423835,1.995971379842428,147.6014760137932,0.1223441117789787,18.78960180005782,1.0025433101143104,1.0054783101143296,340.7155025531342,0.9603254174846416,23.020397755290556,1
21893528,0.561908,0.561894,0.5619,1.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779650034336053,1.8134650343362744,29.572674848246304,0.0458209358720951,13.603259219686963,0.0,0.0,0.0,0.0,0.0,1
21907874,0.536115,0.536121,0.5361,1.0,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865272186899101,1.9340371868995512,14.54228168390095,0.0539956662078585,17.43880032566184,0.0130488263577761,0.0130488263577761,0.0,179649.1975043806,2332.996881301352,1
21924353,0.582279,0.999308,0.7908,1.7162,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7173895714798646,1.7879195714803269,14.178363816722657,0.077038397034121,5.9360701394326165,1.000692136705842,1.0257921367060063,39.8406374499382,0.1866084537356544,3.78936890822335,1
21945241,0.472332,0.472334,0.4723,1.0,404,0.0721902270523341,1.1,0.9,0.1865035217610487,7.7,1.8,16.23,1.1,47,0.0209526596362433,2.3,0.8,0.0503721594377835,17.9,1.7,16.45,0.82,2.1171532195189755,2.1543782195175663,26.86366689154756,0.0569068880017962,10.483761554931194,2.002574725484496,2.060069725484872,17.392816766561488,0.0510844301793744,5.3867010455038695,1
21947560,0.480496,0.480497,0.4805,1.0,322,0.0778603444944146,12.7,2.5,0.0899914465499983,15.9,2.7,14.89,0.76,57,0.0481404915066901,26.1,3.1,0.0506529375661986,28.0,3.2,14.83,0.78,2.0811830081251816,2.1190180081254297,26.43055371992713,0.0325177054478174,6.856651592260692,1.0785711728764016,1.0976461728765263,52.42463958025944,0.0508842163100235,4.560198413413912,1
21948046,0.555006,0.555007,0.555,1.0,386,0.0427879677398499,1.1,1.0,0.0493955680764664,2.0,1.1,15.46,0.91,54,0.016146864899394,1.0,0.7,0.019449978585606,1.6,0.9,15.52,0.73,1.8017817900723485,1.838351790072588,27.344818156780114,0.0734372484112076,8.828510133289942,1.801769685205206,1.865704685205625,15.640885274004049,0.0416841269187421,5.333747429243567,1
21948290,0.511127,0.511115,0.5111,1.0,354,0.101148769220036,11.9,2.3,0.1708076490760992,38.8,2.7,15.39,0.76,54,0.0469526181744263,12.1,1.8,0.0482241146349929,13.6,2.0,15.4,0.64,1.9564597634895964,1.979589763489748,43.23389537368996,0.0612499214140436,8.870618649630138,0.9782732558089836,0.999698255809124,46.67444574065105,0.2384672511208561,12.041134412191203,1
21948919,0.584462,0.584462,0.5845,1.0,396,0.0626117179264296,4.7,1.8,0.1481285925836084,42.2,3.4,14.9,0.59,45,0.0356280761808097,3.9,1.6,0.0364863463300968,10.4,1.6,14.87,0.52,1.7109753299886388,1.713770329988657,357.78175312824646,0.066092949994918,14.22090067013708,1.7109912495220048,1.7154162495220338,225.98870056349125,0.0650689590635451,6.669757166812237,1
21966412,0.684606,0.684615,0.6846,1.0,289,0.098184344134034,1.0,0.7,0.0977772541886506,1.1,0.8,15.97,0.35,57,0.0457252129476268,1.1,1.1,0.0429278319036701,1.3,1.0,15.86,0.29,1.4606932429509532,1.4887332429511368,35.66333808821144,0.0540172422393947,10.403596096938688,1.4606721026954692,1.4822571026956106,46.3284688438012,0.0310030461972184,5.816018877833015,1
21967825,0.540607,0.540599,0.5406,1.0,263,0.1195907292950761,6.7,1.8,0.1224180097839736,7.3,1.8,15.58,0.63,51,0.0403590119091663,2.9,1.9,0.0405771441332374,2.9,2.0,15.53,0.67,1.849772271518114,1.926262271518615,13.073604392645429,0.0904482676664089,8.20686634643485,1.849817967062168,1.9275229670626768,12.869184737062591,0.0597596001589817,5.9614170417868735,1
21986725,0.626306,0.626309,0.6263,1.0,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5966635078464022,1.6305635078466243,29.49852507355306,0.0769344524717869,12.527849714119668,0.4060428114481603,0.4106028114481396,219.29824561503312,0.1487395258693574,3.618880392364473,1
21991284,0.629142,0.629128,0.6291,1.0,501,0.0968511808083979,0.7,0.8,0.2083160064231046,3.4,1.3,16.1,0.44,77,0.048450406309167,2.4,1.4,0.0524933608585023,2.8,1.5,16.02,0.39,1.5894653263051397,1.623415326305362,29.455081001279787,0.0568560187216481,13.584843918319809,1.589504612335075,1.610574612335213,47.46084480272657,0.0492399410973682,6.671061654568388,1
21996907,0.619968,0.61997,0.62,1.0,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129875215433078,1.6158075215433263,354.60992907569107,0.0746744553040178,5.798036931760558,0.3897754851242468,0.3926404851242338,349.04013961764434,0.3275121506388964,4.940772338448107,1
22000484,0.298371,0.298377,0.2984,1.0,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3515306082571645,3.388070608255781,27.367268747615157,0.0347233159102571,7.879619717507831,1.0014593705346662,1.0448393705349504,23.0520977407434,0.1989177902104989,4.073213807521154,2
22000485,0.571628,0.571631,0.5716,1.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493887703065725,1.7521837703065908,357.78175312824646,0.2131685328502681,14.36212041802993,0.7474786287257065,0.7636586287258125,61.80469715657904,0.2606001288310774,7.212955150340495,1
22005161,0.568853,0.0,0.2844,0.0,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579232586871334,1.794483258687373,27.352297592818623,0.1232334464588626,8.041474301286037,0.0,0.0,0.0,0.0,0.0,1
22034371,0.530768,0.530754,0.5308,1.0,268,0.0648060291772126,3.5,1.3,0.1618972522786802,20.6,2.6,15.6,1.03,77,0.0250955990491789,2.2,1.1,0.1307094880616665,79.1,4.1,15.71,0.74,1.8840613161617372,1.9000913161618425,62.38303181493754,0.0866140121045302,8.123341326456936,1.0000367975467015,1.0030917975467215,327.33224222371484,0.0860447929484495,13.052321268734088,1
22042245,0.554525,0.997437,0.776,1.7987,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8033441870523668,1.8711191870528108,14.754703061504223,0.146566052621142,6.552560918924752,0.0,0.0,0.0,0.0,0.0,1
22042502,0.6157,1.847536,1.2316,3.0007,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6241674526525678,1.6946824526530295,14.18137984816633,0.1011593101107755,7.802594252425832,0.3136685839400424,0.3171935839400263,283.68794326370244,166.08733307660847,9.098730510708885,1
22060182,0.614377,0.614376,0.6144,1.0,398,0.162175519158394,1.0,0.8,0.1713163459920442,1.1,0.9,16.48,0.45,80,0.0411481747480735,1.4,0.9,0.0685853415452109,3.1,1.5,16.46,0.39,1.6276644212671951,1.6304694212672135,356.5062388568445,0.0462739017150267,8.379817692034896,1.627656897866567,1.6304918978665857,352.7336860647086,0.0782824432406278,16.473397264399875,1
22067964,0.511536,0.511537,0.5115,1.0,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9548979552061567,1.978857955206314,41.7362270448017,0.0660300272791236,9.220342375873605,0.347981002046046,0.3528310020460239,206.18556701124763,7.778799972817947,7.75998775145569,1
22070388,0.692101,0.692099,0.6921,1.0,258,0.0607295345777231,1.5,1.0,0.0590452570570043,1.5,1.0,15.44,0.66,90,0.026310680033624,0.9,0.9,0.0265237892680172,1.0,0.9,15.49,0.48,1.4448760669430143,1.5126110669434585,14.76341625442458,0.1150676099991725,3.2563827341935903,1.4448961401306877,1.4477211401307062,353.9823008826368,0.0423460329500259,11.636945695745702,1
22090614,0.592153,0.592151,0.5922,1.0,499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6887530703553622,1.722598070355584,29.546461811004544,0.0551875782425783,10.396658770471252,1.0009527722718117,1.0064627722718478,181.48820326559868,0.2387373070162394,5.385931774202375,1
22097828,0.309845,0.309852,0.3098,1.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.227418417484524,3.261228417483244,29.577048211708306,0.0605666123430916,8.249849944484717,1.075778948553628,1.112253948553867,27.416038382274127,0.2208362910470309,5.0923408477599486,2
22118462,0.609189,0.609187,0.6092,1.0,186,0.0459372155736364,1.5,1.1,0.0612893940652904,2.7,1.4,14.78,0.49,90,0.0318513571918035,1.4,1.2,0.0433009657984271,3.0,1.6,14.69,0.41,1.6415266645819464,1.70924166458239,14.76777671111938,0.0742537432056101,4.126479493429332,1.6415242224190076,1.6576292224191131,62.0925178511921,0.0216184177264029,9.654755572328527,1
