LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp
6651516,0.308488,0.308496,0.308492,1.000026,426,2.1,1.3,3.5,1.7,15.25,0.36,448,60.9,5.8,64.2,5.2,15.25,0.48,3.2416,3.2755,29.4724,0.0439,26.5685,3.2415,3.3595,8.4767,0.0031,12.7208,0.12,3e-05,,Z,6.0,period
6819457,0.436282,0.436265,0.436274,0.999961,325,32.5,3.6,39.8,3.9,15.03,0.95,1358,121.2,9.6,136.2,10.4,15.11,0.79,2.2921,2.295,346.0208,0.0669,9.4986,2.2922,2.3005,120.048,0.0205,11.7902,0.16,4e-05,,Z,16.0,period
6883239,0.563711,0.563712,0.563711,1.000002,305,15.1,2.9,15.1,2.9,14.35,0.79,66,10.6,2.5,10.6,2.5,14.45,0.56,1.774,1.8444,14.1935,0.0929,7.2619,1.774,1.7769,336.7003,0.0472,10.2268,0.23,0.0,,Z,10.0,amp
6967017,0.529691,0.529677,0.529684,0.999974,323,13.3,2.3,15.2,2.3,14.63,0.63,231,70.6,6.9,79.5,7.1,14.57,0.96,1.8879,1.9218,29.4724,0.0791,14.2362,1.8879,1.9467,17.0111,0.0095,13.6909,0.33,3e-05,,Z,9.0,period
7048826,0.317781,0.31779,0.317786,1.000028,535,4.0,1.4,8.0,1.9,14.93,0.5,597,55.3,5.9,62.3,4.9,14.93,0.46,3.1468,3.1807,29.4942,0.0464,26.9053,3.1467,3.1497,338.4095,0.0254,16.6105,0.04,3e-05,,Z,5.0,period
7254801,0.561133,0.561071,0.561102,0.99989,310,2.2,1.3,5.7,1.8,15.88,0.63,334,48.4,5.5,104.3,7.0,15.91,0.8,1.7821,1.8527,14.1563,0.055,6.4741,1.7823,1.7872,205.3388,0.005,9.6841,0.17,0.00011,,Z,9.0,period
7279621,0.415469,0.415467,0.415468,0.999995,324,5.0,1.9,5.1,1.9,15.59,0.38,728,26.7,4.6,26.8,4.7,15.6,0.33,2.4069,2.5166,9.1183,0.0311,5.3593,2.4069,2.4145,131.3198,0.0023,12.2092,0.05,0.0,,Z,5.0,period
7283275,0.543342,0.543331,0.543336,0.99998,297,8.4,2.2,11.2,2.3,14.86,0.88,722,14.3,3.6,13.8,3.3,14.81,0.84,1.8405,1.9216,12.3259,0.1038,8.202,1.8405,1.9216,12.3259,0.0149,9.3361,0.04,2e-05,,Z,8.0,period
7344401,0.330201,0.330226,0.330214,1.000076,397,5.9,1.8,9.5,2.3,15.15,0.36,1164,22.0,2.7,36.4,3.8,15.12,0.48,3.0285,3.13,9.8449,0.0174,8.5404,3.0282,3.0393,89.9281,0.0016,19.5173,0.12,8e-05,,Z,13.0,period
7580734,0.314956,0.314957,0.314956,1.000003,387,4.1,2.0,4.1,2.0,15.46,0.38,354,13.7,4.0,13.9,3.9,15.45,0.38,3.175,3.2089,29.5596,0.0295,16.956,3.175,3.1805,181.9836,0.0156,23.2702,0.0,0.0,,Z,8.0,period
7657340,0.49548,0.495493,0.495486,1.000026,482,11.8,2.3,12.4,2.3,15.67,0.79,511,31.0,4.0,32.5,4.3,15.68,0.73,2.0182,2.0274,109.1703,0.0294,9.7739,2.0182,2.0259,129.9545,0.0385,15.1915,0.06,3e-05,,Z,11.0,period
7811366,0.489523,0.489521,0.489522,0.999996,253,11.4,2.0,11.5,2.0,15.18,0.81,1119,62.0,4.7,62.2,4.7,15.07,1.08,2.0428,2.1151,13.8293,0.0483,5.9174,2.0428,2.0629,49.8504,0.0083,26.4856,0.27,0.0,,Z,7.0,amp
7827663,0.390832,0.390832,0.390832,1.0,385,17.7,3.4,17.7,3.4,14.93,0.32,345,26.2,4.5,26.2,4.5,14.83,0.4,2.5586,2.5925,29.5334,0.0264,14.7403,2.5586,2.5641,182.6484,0.0144,21.0938,0.08,0.0,,Z,13.0,amp
7846640,0.551495,0.551518,0.551506,1.000042,447,5.3,1.5,6.0,1.4,16.05,0.76,178,109.1,9.2,119.4,8.4,16.21,0.81,1.8133,1.8942,12.3472,0.0616,8.0539,1.8132,1.8236,96.0615,0.0061,7.4412,0.05,4e-05,,Z,5.0,period
8222011,0.35092,0.350914,0.350917,0.999983,264,5.2,2.0,5.3,2.0,15.59,0.46,729,25.2,4.8,25.7,4.9,15.63,0.35,2.8497,2.8923,23.4247,0.0281,8.14,2.8497,2.8532,284.495,0.0019,13.0052,0.11,2e-05,,Z,6.0,amp
