LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
2612592,0.571562,0.571543,0.571552,0.999967,270,2.4,1.3,3.5,1.4,15.31,0.76,1391,24.8,2.8,27.7,2.9,15.26,0.7,1.7496,1.8173,14.7787,0.0978,5.8651,1.7496,1.7544,208.5506,0.0068,18.0944,0.06,3e-05,-,LZ3,5
2683009,0.606278,0.60621,0.606244,0.999888,180,63.6,6.6,69.4,5.7,14.73,0.82,892,88.8,7.4,102.1,8.7,14.88,0.52,1.6494,1.6833,29.4942,0.1386,6.6443,1.6496,1.6603,93.7207,0.0028,17.082,0.3,0.00011,-,LZ5,9
2851826,0.521838,0.521842,0.52184,1.000008,257,1.6,1.0,1.7,1.0,15.74,0.95,653,18.1,2.5,19.7,2.5,15.63,1.21,1.9163,1.9595,23.1642,0.0985,8.7198,1.9163,1.9595,23.1374,0.0137,22.2937,0.26,1e-05,-,LZ3,5
2889542,0.570913,0.570911,0.570912,0.999996,457,2.7,1.3,2.7,1.3,15.56,0.96,170,9.2,2.5,8.2,2.5,15.44,1.35,1.7516,1.7855,29.4855,0.0521,11.8677,1.7516,1.8062,18.3268,0.0054,6.1558,0.39,0.0,-,LZ3,5
2892940,0.539855,0.539896,0.539876,1.000076,462,3.7,1.3,5.1,1.5,16.16,0.9,169,49.1,4.2,78.5,6.0,16.06,1.21,1.8523,1.8862,29.529,0.0783,12.9993,1.8522,1.9288,13.0514,0.0238,10.5259,0.31,8e-05,-,LZ4,8
2936953,0.328746,0.328733,0.328739,0.99996,271,13.0,2.7,14.6,3.2,14.88,0.35,187,2.5,1.3,3.3,1.2,14.93,0.29,3.0419,3.1123,14.1995,0.0339,14.705,3.042,3.0448,356.5062,0.04,17.0701,0.06,4e-05,-,LZ3,5
3140139,0.30459,0.304585,0.304588,0.999984,255,7.7,2.5,7.8,2.6,15.62,0.4,343,25.1,5.6,26.5,5.4,15.49,0.6,3.2831,3.3529,14.3338,0.0256,10.8164,3.2832,3.4219,7.2056,0.0035,8.4888,0.2,2e-05,-,LZ5,7
3183285,0.349653,0.349664,0.349658,1.000031,485,4.1,1.2,5.2,1.5,15.51,0.48,588,15.7,2.8,22.3,3.2,15.46,0.58,2.86,2.8939,29.4768,0.0388,17.3861,2.8599,2.8654,181.8182,0.0024,15.1581,0.1,3e-05,-,LZ3,5
3196582,0.268017,0.268018,0.268018,1.000004,479,8.6,2.5,9.0,2.5,14.82,0.35,172,10.1,3.4,10.1,3.4,14.7,0.51,3.7311,3.765,29.5203,0.0285,25.6121,3.7311,3.8361,9.5256,0.0026,6.7338,0.16,0.0,-,LZ4,6
3196780,0.504148,0.504199,0.504174,1.000101,475,9.3,2.2,30.8,2.9,15.15,0.81,286,21.5,3.2,102.9,6.9,15.08,0.85,1.9835,2.0029,51.7331,0.0734,18.1467,1.9833,1.9889,181.653,0.023,11.623,0.04,0.0001,-,LZ4,6
3219035,0.326746,0.326509,0.326627,0.999275,376,23.9,3.9,51.5,7.6,14.83,0.32,168,11.5,2.6,39.5,5.0,14.93,0.23,3.0605,3.1287,14.6692,0.0327,10.1934,3.0627,3.0661,294.1176,0.02,12.0769,0.09,0.00073,-,LZ4,7
3463199,0.334718,0.33471,0.334714,0.999976,297,0.6,0.7,0.7,0.7,16.61,0.51,579,11.3,2.3,13.4,2.5,16.51,0.67,2.9876,3.0584,14.1153,0.0382,10.1683,2.9877,2.9952,133.2445,0.0044,23.6348,0.16,2e-05,-,LZ3,5
3491287,0.490986,0.490995,0.49099,1.000018,483,4.1,1.4,4.9,1.5,15.25,0.94,504,37.9,3.8,44.4,3.9,15.28,0.8,2.0367,2.0537,58.8408,0.058,11.9199,2.0367,2.0537,58.8755,0.0099,18.3211,0.14,2e-05,-,LZ4,5
3589854,0.612893,0.612953,0.612923,1.000098,468,29.1,3.9,47.9,5.2,14.57,0.49,545,45.0,5.8,59.9,6.3,14.46,0.5,1.6316,1.6656,29.4031,0.0565,15.3618,1.6314,1.6369,184.6722,0.0169,17.6992,0.01,0.0001,-,LZ5,7
3591037,0.558643,0.558609,0.558626,0.999939,449,5.4,1.3,12.5,1.7,15.69,0.76,544,30.1,3.5,50.9,4.1,15.72,0.65,1.7901,1.7929,352.1127,0.0622,13.9545,1.7902,1.7956,182.3154,0.012,20.9073,0.11,6e-05,-,LZ4,7
