index,LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,LC TYPE,Chi_diff_LINEAR,Chi_diff_ZTF,Ampl_diff,dP
942,10969124,0.488709,0.488715,0.488711793615678,1.0,194.0,0.0770927239508715,4.0,1.4,0.081711605243469,4.5,1.4,15.53859040551306,0.98,526,0.051845372142386,33.2,3.3,0.0522870804469595,34.2,3.3,15.548933432221904,0.86,0,0.25,0.0,0.25,1,0.016125765379039203,0.0722001960187475,0.12,1e-05
961,11151226,0.569182,0.569189,0.5691857579328736,1.0,216.0,0.0762549707144159,3.8,1.5,0.0761825370348724,3.7,1.6,15.421245578876436,0.86,681,0.0858678081059935,42.1,4.5,0.0871775170019037,41.8,4.6,15.522209372324646,0.71,0,0.25,0.0,0.2,1,0.08092607465620572,0.14559943333465153,0.15,1e-05
969,11250867,0.649667,0.649716,0.6496917066443094,1.0001,182.0,0.1057269260619243,1.3,1.0,0.1145698144137761,1.5,1.1,15.714736718399882,0.52,1651,0.1145822861587728,14.9,3.4,0.1321800005118668,18.7,3.7,15.6738194205787,0.39,0,0.25,0.0,0.25,1,0.09241680665718222,0.3453325962437388,0.13,8e-05
971,11266421,0.621113,0.621117,0.621114961910097,1.0,241.0,0.0947096654174358,6.8,1.7,0.1014975839847241,7.0,1.6,15.572009379804516,0.8,476,0.0979933832130033,36.8,4.1,0.0985643775639795,36.9,4.2,15.625021563738873,0.62,0,0.25,0.0,0.25,1,-0.06963399824476157,0.06295008718585837,0.18,1e-05
977,11321453,0.512764,0.512783,0.5127735939231415,1.0,210.0,0.0841789950407766,15.8,2.4,0.0998654198532546,24.1,2.8,15.039925191306263,0.91,476,0.0899782401315324,55.8,5.2,0.0977671911788589,67.7,5.7,15.069236011067048,0.74,0,0.25,0.0,0.25,1,0.35637016868097016,0.4434498781048548,0.17,4e-05
1014,11688186,0.625161,0.625149,0.6251553426008958,1.0,298.0,0.0770881754252528,9.8,1.5,0.0757692635592437,9.9,1.6,15.307643606994954,0.7,819,0.0680701464090697,35.8,4.3,0.0667761770381212,37.4,4.2,15.273660692654362,0.74,1,0.25,0.0,0.25,1,0.02820241594708972,-0.12565166090739766,0.04,2e-05
1028,11857301,0.550273,0.550352,0.5503128208267845,1.0001,269.0,0.0784106604334507,14.6,1.9,0.1962285170405143,44.7,4.2,15.209128058064424,0.8,460,0.052884816464259,36.5,3.4,0.142952849780134,145.4,7.7,15.298335091945177,0.68,0,0.25,0.0,0.25,1,2.2362492497568933,4.315252668662996,0.12,0.00014
1055,12102822,0.562789,0.56286,0.5628244491659089,1.0001,200.0,0.1324132303056689,14.3,2.9,0.1950567995731798,21.6,3.6,15.055544790304705,0.51,551,0.1508358462104831,29.4,4.8,0.1687025706896483,38.1,4.9,15.008615037951689,0.43,0,0.25,0.0,0.25,1,0.6886130681359539,0.02883167219884264,0.08,0.00013
1059,12146066,0.553991,0.554037,0.5540141426089253,1.0001,203.0,0.1930532104540122,6.8,2.1,0.1851187371521178,8.9,2.2,15.745190154428036,0.48,598,0.0983639541997995,25.2,4.4,0.1146001360017614,39.4,4.9,15.582509773575472,0.6,0,0.25,0.0,0.25,1,0.06249170942544646,0.45630574401406765,0.12,8e-05
1069,12246346,0.512539,0.512518,0.5125284238194585,1.0,201.0,0.1296284356803331,2.4,1.2,0.1477836697317916,2.5,1.4,16.005820552954127,0.87,2029,0.0572849518606545,32.6,3.1,0.0614732010802445,40.6,3.2,15.91044167885088,0.87,0,0.25,0.0,0.25,1,0.19581698497991185,0.1375167923158931,0.0,4e-05
1085,12383709,0.492808,0.492824,0.4928158953339291,1.0,201.0,0.113351730655499,18.5,2.5,0.1149441354189893,20.2,2.9,15.169290509414935,0.72,516,0.1420626597788423,94.7,8.3,0.146973304834402,96.5,8.6,15.04573651719596,0.75,0,0.25,1.0,0.25,1,0.3373469346996121,0.3289423353923926,0.03,3e-05
1100,12569794,0.763057,0.837732,0.8003948236828607,1.0979,193.0,0.0535499576689356,1.4,1.0,0.5148726715249863,31.6,6.2,15.074981233112888,0.54,33,0.0607892038370602,49.2,6.0,0.1109825572626465,54.0,6.1,14.119092023874934,1.53,0,0.25,0.0,0.25,1,5.176458305729017,0.04037517675993829,0.99,0.0933
1110,12627837,0.486736,0.486765,0.4867504748570294,1.0001,211.0,0.1200429743314474,1.2,1.0,0.1424165958031921,1.6,1.0,16.256568819155223,0.81,1088,0.0760490581835868,22.5,3.2,0.0944587437169452,33.0,3.9,16.30491600811584,0.67,0,0.25,0.0,0.25,1,0.02903407873482433,0.7044049986760692,0.14,6e-05
1117,12704270,0.478094,0.478108,0.4781011180844505,1.0,250.0,0.0813799641735131,3.2,1.1,0.0774498218995838,3.3,1.2,15.812185357541246,0.79,1294,0.0668257979335256,25.7,3.9,0.0828004017477409,41.8,4.5,15.859836759981908,0.88,0,0.25,1.0,0.25,1,0.04698075407128255,0.6321485375138822,0.09,3e-05
1137,12936747,0.463966,0.463975,0.4639705220693035,1.0,229.0,0.0921701322938981,3.4,1.4,0.0947976004155087,3.5,1.4,15.59623393271974,1.02,1144,0.0465411932576677,45.1,3.2,0.0499141601051854,47.5,3.4,15.640420823944886,0.92,0,0.25,0.0,0.25,1,0.0027978278265585743,0.20539094445398476,0.1,2e-05
1165,13172492,0.614309,0.614276,0.614292502630934,0.9999,214.0,0.0975688191564249,9.9,2.4,0.0948141120795998,13.1,2.6,14.844930628189116,0.53,129,0.0787286011698046,19.3,3.6,0.076305623976753,20.5,3.4,14.795740339036866,0.5,0,0.25,0.0,0.25,1,0.1626064940697871,-0.21603317555456902,0.03,5e-05
1168,13215994,0.558108,0.558112,0.5581097686752365,1.0,205.0,0.0774682650870442,1.0,0.9,0.0746795267879182,1.1,0.9,15.941484569072015,0.73,862,0.0545545989660499,28.1,3.5,0.0545670019080939,27.7,3.5,15.763670379182608,0.87,0,0.25,0.0,0.25,1,-0.002570091857035939,0.03765089449534775,0.14,1e-05
1180,13331395,0.646707,0.64672,0.6467132214315092,1.0,194.0,0.1096309674050372,5.4,1.2,0.106630794181206,5.5,1.1,15.861060110828706,0.51,968,0.1324260547607704,22.9,3.4,0.1331704815598757,23.2,3.5,15.870853403276772,0.44,0,0.25,0.0,0.25,1,-0.004895240869710937,0.056101411089473974,0.07,2e-05
1187,13379825,0.561948,0.561945,0.5619460875400841,1.0,214.0,0.1047523199575074,2.4,1.1,0.102365595957808,2.4,1.1,15.896526061607494,0.57,331,0.0946163534787396,30.2,4.0,0.0955121828276837,30.1,4.1,15.987832981490415,0.57,0,0.25,0.0,0.25,1,0.01506007237934881,0.029747002631379083,0.0,1e-05
1202,13596315,0.490819,0.490835,0.4908269089670811,1.0,158.0,0.1055701624493304,7.9,1.6,0.1152821214565068,8.3,1.6,15.292554657654067,0.8,966,0.1274228896456755,98.9,7.2,0.1235310731525856,105.6,7.0,15.350830698263543,0.7,0,0.25,0.0,0.25,1,-0.0049133116769632945,-0.1439147057697241,0.1,3e-05
1254,14142720,0.651043,0.649891,0.6504670098115501,0.9982,223.0,0.1824869938310587,1.3,0.9,0.3553492853726327,3.1,1.5,16.52222491350404,0.57,572,0.1633091235360954,40.6,5.8,0.9924297881989184,143.4,12.5,16.469497584088586,0.61,0,0.25,0.0,0.25,1,0.5150431849977878,6.647901943033093,0.04,0.00177
1256,14155360,0.552032,0.552021,0.5520266581696213,1.0,191.0,0.0778144529763407,5.8,1.9,0.0855686166904066,6.7,2.0,14.8704566216847,0.55,586,0.0651261688109525,24.6,3.7,0.0641413180388656,26.4,3.6,14.727259879451132,0.65,0,0.25,0.0,0.25,1,0.16018318859502734,-0.13170910955842574,0.1,2e-05
1259,14178112,0.556165,0.556164,0.5561644588890944,1.0,250.0,0.0739739857664064,17.2,2.2,0.0742595026518814,17.2,2.2,14.8694063473792,0.71,571,0.0877260774130781,30.9,4.1,0.0883235274334798,30.9,4.2,14.768640395539942,0.69,0,0.25,0.0,0.25,1,0.010013701644390416,0.04399306999080377,0.02,0.0
